url,name,team,dob,country,pob
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/585919.html,Zhi Cong Li,Carlin,,China,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/585957.html,Chris Vlok,Team West-Tec,17/09/1992,New Zealand,"Capetown, South Africa"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/585972.html,Antonio Giovinazzi,Double R Racing,14/12/1993,Italy,Martina Franca (I)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/585990.html,William Buller,Fortec Motorsport,17/09/1992,United Kingdom,Craigavon
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/585997.html,Ed Jones,Team West-Tec,12/02/1995,United Kingdom,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586012.html,Sun Zheng,CF Racing,,China,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586018.html,Jordan King,Carlin,26/02/1994,United Kingdom,Warwick (GB)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586023.html,Jordan Oon,Team West-Tec,21/03/1990,Australia,"Perth, Australia"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586026.html,Spike Goddard,T-Sport,17/08/1992,Australia,"Pennsylvania, USA"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586030.html,Alfonso Celis,Fortec Motorsport,18/09/1996,Mexico,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586033.html,Sean Gelael,Double R Racing,01/11/1996,Indonesia,Jakarta (RI)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586037.html,Tatiana Calderon,Double R Racing,10/03/1993,Colombia,Bogotá (CO)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586041.html,Cameron Twynham,Team West-Tec,14/02/1996,United Kingdom,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586045.html,Jazeman Jaafar,Carlin,13/11/1992,Malaysia,Kuala Lumpur
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586050.html,Felix Serralles,Fortec Motorsport,24/06/1992,Puerto Rico,"Ponce, Puerto Rico"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586053.html,Felipe Guimaraes,Fortec Motorsport,22/03/1991,Brazil,Anápolis (BR)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586058.html,Jann Mardenborough,Carlin,09/09/1991,United Kingdom,Darlington (GB)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586067.html,Sean Walkinshaw,Team West-Tec,03/11/1993,United Kingdom,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586071.html,Nicholas Latifi,Carlin,29/06/1995,Canada,Montréal (CDN)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586078.html,Roberto La Rocca,Team West-Tec,09/07/1991,Venezuela,Caracas (VEN)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586082.html,Liam Venter,Team West-Tec,06/02/1995,South Africa,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586086.html,Huan Zhu,Team West-Tec,22/11/1992,China,Beijing (China)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/586096.html,William Barbosa,Team West-Tec,,Colombia,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/607323.html,Carlos SAINZ,Carlin,01/09/1994,Spain,Madrid
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/607327.html,Harry TINCKNELL,Carlin,29/10/1991,United Kingdom,Exeter
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/607332.html,Jack HARVEY,Carlin,15/04/1993,United Kingdom,Lincoln
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/607351.html,Pietro FANTIN,Carlin,28/11/1991,Brazil,Curitiba
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/607376.html,Alex LYNN,Fortec Motorsport,17/09/1993,United Kingdom,Essex
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/607390.html,Rupert SVENDSEN-COOK,Double R Racing,17/09/1990,United Kingdom,Ipswich
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/607403.html,Pipo DERANI,Fortec Motorsport,12/10/1993,Brazil,Sao Paulo
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_3/614210.html,Hannes van ASSELDONK,Fortec Motorsport,10/01/1992,Netherlands,Boekal NL
