url,team,name,country,dob,site
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1169603.html,Manor Motorsport,Lewis Hamilton,United Kingdom,7 January 1985 (31),http://www.lewishamilton.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172065.html,Mercedes Grand Prix,Nico Rosberg,Germany,27 June 1985 (31),http://www.nicorosberg.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172075.html,McLaren,Fernando Alonso,Spain,29 July 1981 (35),http://www.fernandoalonso.com/
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172081.html,Renault,Jenson Button,United Kingdom,19 January 1980 (36),http://www.jensonbutton.com/
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172115.html,Ferrari,Kimi Räikkönen,Finland,17 October 1979 (36),
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172154.html,Scuderia Toro Rosso,Sebastian Vettel,Germany,3 July 1987 (29),http://www.sebastianvettel.de
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172236.html,Manor MP Motorsport,Steijn Schothorst,Netherlands,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172295.html,ART Grand Prix,Valtteri Bottas,Finland,28 August 1989 (27),
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172344.html,Koiranen Motorsport,Ralph Boschung,Switzerland,23 September 1997 (18),
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172347.html,DAMS,Kevin Joerg,Switzerland,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172635.html,MS Amlin Andretti,Antonio Felix da Costa,Portugal,31 August 1991 (25),http://www.felixdacosta.com/
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172711.html,Status Grand Prix,Sandy Stuvik,Thailand,11 April 1995 (21),
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172729.html,Tech 1 Racing,Daniel Ricciardo,Australia,1 July 1989 (27),http://www.danielricciardo.com/
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172759.html,Arden,Jake Dennis,Great Britain,30 June 1995 (21),
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172885.html,Carlin Motorsport,Josef Newgarden,United States,22 December 1990 (25),
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172913.html,ART Grand Prix,Charles Leclerc,Monaco,16 October 1997 (18),
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172920.html,Jo Zeller Racing,Tatiana Calderon,Colombia,10 March 1993 (23),
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173010.html,Prema Powerteam,Daniel Juncadella,Spain,7 May 1991 (25),
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173075.html,Manor Racing,Adrien Tambay,France,25 February 1991 (25),http://www.tambay27.com/
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173101.html,Stewart,Rubens Barrichello,Brazil,23 May 1972 (44),
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173189.html,Campos Racing,Alex Palou,Spain,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173268.html,Van Amersfoort Racing,Max Verstappen,Netherlands,30 September 1997 (18),http://www.verstappen.nl
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173404.html,Arden,Daniil Kvyat,Russia,26 April 1994 (22),
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173608.html,Mücke Motorsport,Pascal Wehrlein,Germany,18 October 1994 (21),
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173624.html,Fortec Motorsports,Alex Lynn,Great Britain,17 September 1993 (22),http://www.alexlynnracing.com/
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173644.html,DAMS,Romain Grosjean,France,17 April 1986 (30),http://www.romaingrosjean.com/
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173785.html,Jenzer Motorsport,Oscar Tunjo,Colombia,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173811.html,Campos,Sergio Perez,Mexico,26 December 1989 (26),http://www.sergioperezf1.com/
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173855.html,Signature,Alex Albon,Great Britain,23 March 1996 (20),http://www.alexalbon.com/
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173888.html,Trident Racing,Luca Ghiotto,Italy,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1173898.html,Trident Racing,Artur Janosz,Poland,,
