url,name,dob,pob
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/1000001.html,Giovanni Buffarello,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/1000005.html,Fosco Giansanti,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/1000007.html,Remy Hirschy,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/1000023.html,Ken Araoka,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/1042283.html,John Mcphee,14/Jul/1994,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/1042507.html,Alex Kenshington,09/Sep/1983,Wellington
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/1042508.html,Robin Halen,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/1042509.html,Marcel Becker,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/1078284.html,Dylan Mavin,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/1078285.html,Ornella Ongaro,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/1080173.html,Avalon Biddle,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/1080174.html,Alexander Phillis,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/1080175.html,Emil Petersen,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/511347.html,Andrea Dovizioso,23/Mar/1986,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599648.html,Anthony West,17/Jul/1981,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599660.html,Alex De Angelis,26/Feb/1984,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599669.html,Luca Morelli,31/Dec/1987,Ariano Irpino
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599688.html,Alessio Palumbo,08/Sep/1985,Paterno
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599699.html,Jorge Lorenzo,04/May/1987,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599716.html,Hiroshi Aoyama,25/Oct/1981,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599731.html,Ratthapark Wilairot,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599742.html,Youichi Ui,,Chiba
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599755.html,Shuhei Aoyama,,Chiba
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599768.html,Taro Sekiguchi,,Tokyo
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599787.html,Shinya Nakano,,Chiba
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599795.html,Seijin Oikawa,02/Nov/1970,Kanagawa
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599809.html,Jules Cluzel,,Montluçon
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599825.html,Takumi Takahashi,26/Nov/1989,Saitama
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599839.html,Alex Baldolini,,Cesena
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599862.html,Dirk Heidolf,,Hohenstein
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599875.html,Arturo Tizon,25/May/1984,Vall de Uxó
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599886.html,Kouki Takahashi,,Saitama
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599910.html,Aleix Espargaro,30/Jul/1989,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599923.html,Roberto Locatelli,,Bergamo
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599943.html,Andrea Ballerini,02/Jul/1973,Firenze
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599962.html,David De Gea,09/Dec/1977,Cehegin
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599981.html,Marco Simoncelli,,Cattolica
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/599992.html,Fabricio Perren,,Lehman
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/600015.html,Hector Barbera,02/Nov/1986,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/600048.html,Jakub Smrz,07/Apr/1983,Jilovice
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/600059.html,Arnaud Vincent,,Mancy
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/600068.html,Yuki Takahashi,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/600083.html,Ryuji Yokoe,18/Jan/1978,Miyagi
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/600099.html,Manuel Poggiali,,San Marino
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/600119.html,Jordi Carchano,02/Jul/1984,S. Quirze de Valles
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/600136.html,Sylvain Guintoli,,Montelimar
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/601339.html,Jarno Van Der Marel,18/Aug/1984,Maassluis
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/601401.html,Zheng Peng Li,01/Dec/1988,Xi'an
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/607047.html,Andrea Iommi,25/Mar/1977,Monte Granaro
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/607050.html,Andrea Iannone,09/Aug/1989,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/607052.html,Andrea Zappa,09/Dec/1974,Giussano
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/616958.html,Simon Crafar,,Walouru
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617340.html,Dani Pedrosa,29/Sep/1985,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617342.html,Marc Marquez,17/Feb/1993,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617344.html,Javier Del Amor,08/Jun/1976,Madrid
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617345.html,Bryan Staring,,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617346.html,Bradley Smith,28/Nov/1990,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617347.html,Colin Edwards,27/Feb/1974,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617349.html,Alvaro Bautista,21/Nov/1984,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617351.html,Karel Abraham,02/Jan/1990,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617353.html,Katsuyuki Nakasuga,09/Aug/1981,Shizuoka
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617356.html,Pol Espargaro,10/Jun/1991,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617358.html,Mike Di Meglio,17/Jan/1988,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/motor_gp/617359.html,Danilo Petrucci,24/Oct/1990,
