url,name,height,weight,team,pob,dob
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586410.html,James Hinchcliffe,5-9,176 lbs,Forsythe Championship Racing,"Toronto, Canada","December 5, 1986"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586417.html,Antonio Pizzonia,6-0,197 lbs,Rocketsports Racing,"Manaus, Brazil","September 11, 1980"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586424.html,Tristan Gommendy,5-10,189 lbs,Sigma Autosport,"Le Chesnay, Yvelines","January 4, 1979"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586442.html,Greg Mansell,6-1,192 lbs,Walker Racing - Team Australia,"Isle Of Man, England ","November 8, 1987"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586444.html,Mario Dominguez,6-1,175 lbs,Pacific Coast Motorsports,"Mexico City, Mexico","December 1, 1975"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586446.html,Mark Plourde,6-1,230 lbs,MP Racing,"Las Vegas, Nevada","December 13, 1982"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586449.html,Franck Perera Profile,5-9,184 lbs,Conquest Racing,"Montpellier, France","March 21, 1984"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586472.html,Sheri Plourde,5-7,154 lbs,MP Racing,"Tampa Bay, Florida","February 24, 1988"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586474.html,Matt Halliday,5-8,187 lbs,Conquest Racing,"Auckland, NZ","June 29th, 1979"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586478.html,Ricardo Zonta,6-1,207 lbs,Newman/Haas/Racing,"Curitiba, Brazil","March 23rd, 1976"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586481.html,Oriol Servia,5-5,165 lbs,Forsythe Championship Racing,"Pals, Spain","July 13, 1974"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586489.html,Bruno Junqueira,5-7,151 lbs,MP Racing,"Belo Horizonte, Brazil","November 4, 1976"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586493.html,Dan Clarke,5-7,155 lbs,Minardi Team USA,"North Yorkshire, England","October 4th, 1983"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586496.html,Justin Wilson,6-2,237 lbs,Dale Coyne Racing,"Sheffield, England","July 31, 1978"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586503.html,Nelson Philippe,5-7,172 lbs,Minardi Team USA,"Valence, France","July 23, 1986"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586510.html,Simon Pagenaud,5-9,169 lbs,Walker Racing - Team Australia,"Poitiers, France","May 18, 1984"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586512.html,Robert Doornbos,6-0,184 lbs,Minardi Team USA,"Rotterdam, Netherlands","September 23, 1981"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586514.html,Jan Heylen Profile,5-9,196 lbs,Sigma Autosport,"Geel, Belgium","May 1, 1980"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586516.html,Alex Figge,5-10,201 lbs,Pacific Coast Motorsports,"Boulder, Colorado","July 29, 1981"
/home/edimar/doutorado/doutorado04/bases/ORION/driver/champ/586523.html,Enrique Bernoldi,5-9,189 lbs,Rocketsports Racing,"Curitiba, Brazil","October 19, 1978"
