url,name,team,first_race,car
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587515.html,Leandro Totti,RM Competições - PR,Estréia: 22/06/2003,Man Latin America
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587551.html,Diogo Pachenki,ABF Racing Team - PR,Estréia: 10/03/2013,Mercedes-Benz
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587553.html,Debora Rodrigues,RM Competições - PR,Estréia: 01/01/1998,Man Latin America
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587554.html,Régis Boessio,Boessio Competições - RS,Estréia: 01/01/2006,Mercedes-Benz
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587556.html,Felipe Giaffone,RM Competições - SP,Estréia: 10/04/2005,Man Latin America
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587558.html,Luiz Lopes,Lucar Motorsports - SP,Estréia: 27/02/2011,Iveco
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587560.html,Alberto Cattucci,ABF Motorsport - SP,Estréia: 11/11/2012,Volvo
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587562.html,Roberval Andrade,Ticket Car Corinthians Motorsport - SP,Estréia: 11/06/2000,Scania
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587563.html,Geraldo Piquet,ABF Mercedes-Benz - DF,Estréia: 16/03/2003,Mercedes-Benz
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587565.html,João Maistro,Clay Truck Racing - PR,Estréia: 13/03/2005,Volvo
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587567.html,Leandro Reis,Original Reis Peças - GO,Estréia: 02/10/2007,Scania
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587568.html,Beto Monteiro,Scuderia Iveco - PE,Estréia: 19/03/2000,Iveco
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587570.html,Edu Piano,Território Motorsport - SP,Estréia: 10/03/2013,Ford
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587572.html,José Maria Reis,Original Reis Peças - GO,Estréia: 13/03/2005,Scania
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587574.html,Paulo Salustiano,ABF Racing Team - SP,Estréia: 07/03/2010,Mercedes-Benz
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587577.html,Wellington Cirino,ABF Mercedes-Benz - PR,Estréia: 15/03/1997,Mercedes-Benz
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587579.html,André Marques,RM Competições - SP,Estréia: 18/04/2010,Man Latin America
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587580.html,Ronaldo Kastropil,Ticket Car Corinthians Motorsport - SP,Estréia: 10/03/2013,Scania
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587584.html,Valmir Benavides,Scuderia Iveco - PR,Estréia: 20/05/2007,Iveco
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587586.html,Raijan Mascarello,DF Motorsport - MT,Estréia: 09/06/2013,Ford
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587588.html,Alex Caffi,Dakar Motorsport - SP,Estréia: 09/06/2013,Iveco
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587589.html,Adalberto Jardim,RM Competições - SP,Estréia: 26/10/2006,Man Latin America
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587592.html,Jansen Bueno,DB Motorsport - PR,Estréia: 10/03/2013,Volvo
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587593.html,Djalma Fogaça,DF Motorsport - SP,Estréia: 01/01/1997,Ford
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587595.html,Rogério Castro,ABF Motorsport - GO,Estréia: 10/03/2013,Volvo
/home/edimar/doutorado/doutorado04/bases/ORION/driver/f_truck/587596.html,Pedro Muffato,Muffatão Racing - PR,Estréia: 20/08/2000,Scania
