url,pob,name,team,dob,height,weight,web
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191727.html,Monegasque,Stéphane Richelmi,DAMS,17/03/1990,173 cm,57 kg,http://www.richelmi.it
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191735.html,Brazilian,Felipe Nasr,Carlin,21/08/1992,174 cm,71 kg,http://www.felipenasr.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191736.html,British,Jolyon Palmer,Carlin,16/07/1991,179 cm,78 kg,http://www.jolyonpalmer.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191740.html,British,James Calado,ART Grand Prix,13/06/1989,181 cm,68 kg,http://www.jamescalado.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191774.html,Colombian,Julián Leal,Racing Engineering,11/05/1990,172 cm,61 kg,http://www.omarjulianleal.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191775.html,French,Tom Dillmann ,RUSSIAN TIME,06/04/1989,177 cm,60 kg,http://www.tomdillmann.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191779.html,German,Daniel Abt,ART Grand Prix,03/12/1992,180 cm,76 kg,http://www.danielabt.de
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191780.html,Swiss,Simon Trummer,Rapax,08/06/1989,168 cm,68 kg,http://www.simontrummer.ch
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191781.html,Monegasque,Stefano Coletti,Rapax,06/04/1989,180 cm,69 kg,http://www.stefanocoletti.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191782.html,Canadian,Gianmarco Raimondo,Trident Racing,28/11/1990,,,http://www.gianmarcoraimondo.com/
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191783.html,British,Jon Lancaster,Hilmer Motorsport,10/12/1988,180 cm,70 kg,http://www.jonlancasterracing.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191784.html,British,Adrian Quaife-Hobbs,Hilmer Motorsport,03/02/1991,175 cm,64 kg,http://www.quaifehobbs.com
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_2/191785.html,Spanish,Dani Clos,MP Motorsport,23/10/1988,177 cm,67.5 kg,http://www.daniclos.com
