url,team,name,pob,dob
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1169603.html,Mercedes Grand Prix,Lewis Hamilton,United Kingdom,7 January 1985 (31)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172065.html,Mercedes Grand Prix,Nico Rosberg,Germany,27 June 1985 (31)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172075.html,McLaren,Fernando Alonso,Spain,29 July 1981 (35)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172079.html,Team Penske,Juan Pablo Montoya,Colombia,20 September 1975 (40)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172081.html,McLaren,Jenson Button,United Kingdom,19 January 1980 (36)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172086.html,Red Bull Racing,Mark Webber,Australia,27 August 1976 (40)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172115.html,Ferrari,Kimi Räikkönen,Finland,17 October 1979 (36)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172154.html,Ferrari,Sebastian Vettel,Germany,3 July 1987 (29)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172167.html,Ongetta,Niccolo Antonelli,Italy,23 February 1996 (20)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172175.html,RBA Racing Team,Gabriel Rodrigo,Argentina,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172189.html,Sky Racing Team VR46,Romano Fenati,Italy,15 January 1996 (20)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172199.html,Ducati Team,Andrea Dovizioso,Italy,23 March 1986 (30)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172201.html,Audi Sport Team Phoenix,Mike Rockenfeller,Germany,31 October 1983 (32)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172236.html,Campos Racing,Steijn Schothorst,Netherlands,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172295.html,Williams,Valtteri Bottas,Finland,28 August 1989 (27)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172298.html,Idemitsu Honda Team Asia,Takaaki Nakagami,Japan,9 February 1992 (24)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172336.html,Mahindra Racing,Francesco Bagnaia,Italy,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172344.html,Koiranen Motorsport,Ralph Boschung,Switzerland,23 September 1997 (18)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172347.html,DAMS,Kevin Joerg,Switzerland,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172360.html,ROAL Motorsport,Tom Coronel,Netherlands,5 April 1972 (44)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172383.html,Münnich Motorsport,James Thompson,United Kingdom,29 April 1974 (42)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172403.html,Freudenberg Racing Team,Karel Hanika,Czech Republic,14 April 1996 (20)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172466.html,Tech 3,Alex Lowes,Great Britain,14 September 1990 (25)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172476.html,Koiranen Motorsport,Mahaveer Raghunathan,India,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172478.html,Honda Team Asia,Hiroki Ono,Japan,6 May 1990 (26)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172507.html,Trident Racing,Philo Paz Armand,Indonesia,12 March 1996 (20)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172529.html,Schmidt Peterson Motorsports,Mikhail Aleshin,Russia,22 May 1987 (29)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172559.html,Russian Time,Artem Markelov,Russia,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172564.html,Jenzer Motorsport,Richard Gonda,Slovakia,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172582.html,Team Italia,Stefano Valtulini,Italy,
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172623.html,Team Suzuki Ecstar,Aleix Espargaro,Spain,30 July 1989 (27)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172635.html,MS Amlin Andretti,Antonio Felix da Costa,Portugal,31 August 1991 (25)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172645.html,Van Amersfoort Racing,Harrison Newey,United Kingdom,25 July 1998 (18)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172663.html,BMW Team RBM,Maxime Martin,Belgium,20 March 1986 (30)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172670.html,BMW Team MTEK,Bruno Spengler,Canada,23 August 1983 (33)
/home/edimar/doutorado/doutorado04/bases/ORION/driver/gp_update/1172684.html,Dale Coyne Racing,Luca Filippi,Italy,9 August 1985 (31)
