auto	cars	engine							
657	646	1168	439						
0404	8	345-hp, 3.6-liter H-6 (premium)	385-hp, 3.8-liter H-6 (premium)	408-hp, 3.8-liter H-6 (premium)	435-hp, 3.8-liter H-6 (premium)	450-hp, 3.8-liter H-6 (premium)	500-hp, 3.8-liter H-6 (premium)	530-hp, 3.8-liter H-6 (premium)	345-hp, 3.6-liter H-6 (premium) - 385-hp, 3.8-liter H-6 (premium) - 408-hp, 3.8-liter H-6 (premium) - 435-hp, 3.8-liter H-6 (premium) - 450-hp, 3.8-liter H-6 (premium) - 500-hp, 3.8-liter H-6 (premium) - 530-hp, 3.8-liter H-6 (premium)
0406	7	290-hp, 3.6-liter V-6 (premium)	385-hp, 4.8-liter V-8 (premium)	405-hp, 4.8-liter V-8 (premium)	500-hp, 4.8-liter V-8 (premium)	540-hp, 4.8-liter V-8 (premium)	550-hp, 4.8-liter V-8 (premium)	290-hp, 3.6-liter V-6 (premium) - 385-hp, 4.8-liter V-8 (premium) - 405-hp, 4.8-liter V-8 (premium) - 500-hp, 4.8-liter V-8 (premium) - 540-hp, 4.8-liter V-8 (premium) - 550-hp, 4.8-liter V-8 (premium)	
0300	6	228-hp, 3.0-liter V-6 (flexible; E85)	228-hp, 3.0-liter V-6 (premium)	268-hp, 3.5-liter V-6 (premium)	451-hp, 6.2-liter V-8 (premium)	481-hp, 6.2-liter V-8 (premium)	228-hp, 3.0-liter V-6 (flexible; E85) - 228-hp, 3.0-liter V-6 (premium) - 268-hp, 3.5-liter V-6 (premium) - 451-hp, 6.2-liter V-8 (premium) - 481-hp, 6.2-liter V-8 (premium)		
0303	6	429-hp, 4.6-liter V-8 (premium)	510-hp, 5.5-liter V-12 (premium)	536-hp, 5.5-liter V-8 (premium)	563-hp, 5.5-liter V-8 (premium)	604-hp, 6.0-liter V-12 (premium)	429-hp, 4.6-liter V-8 (premium) - 510-hp, 5.5-liter V-12 (premium) - 536-hp, 5.5-liter V-8 (premium) - 563-hp, 5.5-liter V-8 (premium) - 604-hp, 6.0-liter V-12 (premium)		
0311	6	210-hp, 3.0-liter V-6 (diesel)	268-hp, 3.5-liter V-6 (premium)	275-hp, 3.5-liter V-6 (gas hybrid)	382-hp, 5.5-liter V-8 (premium)	503-hp, 6.2-liter V-8 (premium)	210-hp, 3.0-liter V-6 (diesel) - 268-hp, 3.5-liter V-6 (premium) - 275-hp, 3.5-liter V-6 (gas hybrid) - 382-hp, 5.5-liter V-8 (premium) - 503-hp, 6.2-liter V-8 (premium)		
0312	6	210-hp, 3.0-liter V-6 (diesel)	268-hp, 3.5-liter V-6 (premium)	275-hp, 3.5-liter V-6 (gas hybrid)	382-hp, 5.5-liter V-8 (premium)	503-hp, 6.2-liter V-8 (premium)	210-hp, 3.0-liter V-6 (diesel) - 268-hp, 3.5-liter V-6 (premium) - 275-hp, 3.5-liter V-6 (gas hybrid) - 382-hp, 5.5-liter V-8 (premium) - 503-hp, 6.2-liter V-8 (premium)		
0314	6	275-hp, 3.5-liter V-6 (gas hybrid)	382-hp, 5.5-liter V-8 (premium)	510-hp, 5.5-liter V-12 (premium)	518-hp, 6.2-liter V-8 (premium)	604-hp, 6.0-liter V-12 (premium)	275-hp, 3.5-liter V-6 (gas hybrid) - 382-hp, 5.5-liter V-8 (premium) - 510-hp, 5.5-liter V-12 (premium) - 518-hp, 6.2-liter V-8 (premium) - 604-hp, 6.0-liter V-12 (premium)		
0315	6	275-hp, 3.5-liter V-6 (gas hybrid)	382-hp, 5.5-liter V-8 (premium)	510-hp, 5.5-liter V-12 (premium)	536-hp, 5.5-liter V-8 (premium)	604-hp, 6.0-liter V-12 (premium)	275-hp, 3.5-liter V-6 (gas hybrid) - 382-hp, 5.5-liter V-8 (premium) - 510-hp, 5.5-liter V-12 (premium) - 536-hp, 5.5-liter V-8 (premium) - 604-hp, 6.0-liter V-12 (premium)		
0360	6	143-hp, 2.0-liter I-4 (regular gas)	152-hp, 2.0-liter I-4 (regular gas)	161-hp, 2.4-liter I-4 (regular gas)	168-hp, 2.4-liter I-4 (regular gas)	237-hp, 2.0-liter I-4 (premium)	143-hp, 2.0-liter I-4 (regular gas) - 152-hp, 2.0-liter I-4 (regular gas) - 161-hp, 2.4-liter I-4 (regular gas) - 168-hp, 2.4-liter I-4 (regular gas) - 237-hp, 2.0-liter I-4 (premium)		
