book	abebooks	author						
2000	2000	2280	2025					
1329	7	Marc Chagall	Roland Doschka	Francoise Dumont	Meret Meyer	Stadthalle Balingen	Belgium) Salle Saint-Georges (Liege	Marc Chagall - Roland Doschka - Francoise Dumont - Meret Meyer - Stadthalle Balingen - Belgium) Salle Saint-Georges (Liege
1230	6	Missouri Group	Brian S. Brooks	George Kennedy	Daryl R. Moen	Don Ranly	Missouri Group - Brian S. Brooks - George Kennedy - Daryl R. Moen - Don Ranly	
1495	6	Mark Tabb	Susie Van Ryn	Newell Cerak	Colleen Cerak	Whitney Cerak	Mark Tabb - Susie Van Ryn - Newell Cerak - Colleen Cerak - Whitney Cerak	
1954	6	Randall VanderMey	Dave Kemper	Verne Meyer	Pat Sebranek	John Van Rys	Randall VanderMey - Dave Kemper - Verne Meyer - Pat Sebranek - John Van Rys	
0762	5	Renovare	Eugene H. Peterson	Dallas Willard	Walter Brueggemann	Renovare - Eugene H. Peterson - Dallas Willard - Walter Brueggemann		
1137	5	Charles H. Holbrow	C. H. Holbrow	J. C. Amato	J. N. Lloyd	Charles H. Holbrow - C. H. Holbrow - J. C. Amato - J. N. Lloyd		
1372	5	Gerald Allen	Roger Steene	Paul Humann	Ned Deloach	Gerald Allen - Roger Steene - Paul Humann - Ned Deloach		
1453	5	William Gilmore Simms	Charles M. Hudson	John Caldwell Guilds	South Caroliniana Library	William Gilmore Simms - Charles M. Hudson - John Caldwell Guilds - South Caroliniana Library		
1674	5	William Rubin	Georges Braque	Pablo Picasso	Museum of Modern Art (New York, N.Y.)	William Rubin - Georges Braque - Pablo Picasso - Museum of Modern Art (New York, N.Y.)		
1781	5	Mary Zimmerman	David R. Slavitt	Ovid	Ovid Metamorphoses	Mary Zimmerman - David R. Slavitt - Ovid - Ovid Metamorphoses		
1862	5	David R. Mains	Karen Mains	David Mains	Karen Burton Mains	David R. Mains - Karen Mains - David Mains - Karen Burton Mains		
1952	5	Patrick Sebranek	Conrad P. Heins	Dave Kemper	Verne Meyer	Patrick Sebranek - Conrad P. Heins - Dave Kemper - Verne Meyer		
0000	4	Howard Zinn	Paul Buhle	Mike Konopacki	Howard Zinn - Paul Buhle - Mike Konopacki			
0001	4	Dave Kemper	Patrick Sebranek	Verne Meyer	Dave Kemper - Patrick Sebranek - Verne Meyer			
0013	4	Mary Ann Fiery Shaffer	Annie Barrows	Annie Fiery Barrows	Mary Ann Fiery Shaffer - Annie Barrows - Annie Fiery Barrows			
0029	4	Ann Smolin	John Guinan	Ann Smoin	Ann Smolin - John Guinan - Ann Smoin			
0128	4	Philip Kotler	Kevin Lane Keller	Kevin Keller	Philip Kotler - Kevin Lane Keller - Kevin Keller			
0147	4	Marc Braunstein	Ned Levine	Edward Levine	Marc Braunstein - Ned Levine - Edward Levine			
0231	4	Harry Crosby	Harry W Crosby	Enrique Hambleton	Harry Crosby - Harry W Crosby - Enrique Hambleton			
0241	4	Richard Bauckham	Trevor Hart	Trevor A. Hart	Richard Bauckham - Trevor Hart - Trevor A. Hart			
0244	4	Barri Cae Mallin	S. Wolkenfeld	Shmuel Wolkenfeld	Barri Cae Mallin - S. Wolkenfeld - Shmuel Wolkenfeld			
0390	4	X. J. Kennedy	Dorothy M. Kennedy	Marcia F. Muth	X. J. Kennedy - Dorothy M. Kennedy - Marcia F. Muth			
0614	4	Gaston Bachelard	Maria Jolas	M. Jolas	Gaston Bachelard - Maria Jolas - M. Jolas			
0673	4	Philip Kotler	Kevin Lane Keller	Kevin Keller	Philip Kotler - Kevin Lane Keller - Kevin Keller			
0736	4	Shep Campbell	Shepherd Campbell	Peter Landau	Shep Campbell - Shepherd Campbell - Peter Landau			
0800	4	Eric L. Santner	Slavoj Zizek	Kenneth Reinhard	Eric L. Santner - Slavoj Zizek - Kenneth Reinhard			
0888	4	Barry Render	Ralph M. Stair	Michael E. Hanna	Barry Render - Ralph M. Stair - Michael E. Hanna			
0911	4	Adrian Desmond	James Moore	James R. Moore	Adrian Desmond - James Moore - James R. Moore			
0995	4	Virginia McAlester	A. Lee McAlester	Lee McAlester	Virginia McAlester - A. Lee McAlester - Lee McAlester			
1020	4	Edward S. Neukrug	Richard C. Fawcett	R. Charles Fawcett	Edward S. Neukrug - Richard C. Fawcett - R. Charles Fawcett			
1024	4	Friedrich Wilhelm Nietzsche	Maudemarie Clark	Brian Leiter	Friedrich Wilhelm Nietzsche - Maudemarie Clark - Brian Leiter			
1053	4	Lee Bailey	Joshua Greene	Mardee Haidin Regan	Lee Bailey - Joshua Greene - Mardee Haidin Regan			
1205	4	Margaret Lial	David I. Schneider	E. John Hornsby	Margaret Lial - David I. Schneider - E. John Hornsby			
1259	4	David E. Murphy	George Bailey	Sergi A. Kondrashev	David E. Murphy - George Bailey - Sergi A. Kondrashev			
1324	4	Jean Dubuffet	Daniel Abadie	Centre Georges Pompidou	Jean Dubuffet - Daniel Abadie - Centre Georges Pompidou			
1334	4	Ivan Misner	Robert Davis	Ivan R. Misner	Ivan Misner - Robert Davis - Ivan R. Misner			
1434	4	Laura Martin	Laura C. Martin	Cameron Martin	Laura Martin - Laura C. Martin - Cameron Martin			
1439	4	James Porter Moreland	Dallas Willard	J. P. Moreland	James Porter Moreland - Dallas Willard - J. P. Moreland			
1497	4	Steve Jeffery	Michael Ovey	Andrew Sach	Steve Jeffery - Michael Ovey - Andrew Sach			
1514	4	David Letterman	The Late Show Writers	Late Show Writers	David Letterman - The Late Show Writers - Late Show Writers			
1639	4	Marshall Bradley	Barbara W. Ellis	Fern Marshall Bradley	Marshall Bradley - Barbara W. Ellis - Fern Marshall Bradley			
1824	4	Dennis B. Fradin	Michael McCurdy	Dennis Brindell Fradin	Dennis B. Fradin - Michael McCurdy - Dennis Brindell Fradin			
1831	4	Sandra L. Bloom	Michael Reichert	Trauma Press	Sandra L. Bloom - Michael Reichert - Trauma Press			
1835	4	John Joseph Collins	Adela Yarbro Collins	Frank Moore Cross	John Joseph Collins - Adela Yarbro Collins - Frank Moore Cross			
1843	4	Martin Luther	J. I. Packer	O. R. Johnston	Martin Luther - J. I. Packer - O. R. Johnston			
1910	4	Mark Yarnell	Rene Yarnell	Rene Reid Yarnell	Mark Yarnell - Rene Yarnell - Rene Reid Yarnell			
1917	4	Maeve Binchy	Cathy Kelly	Marian Keyes	Maeve Binchy - Cathy Kelly - Marian Keyes			
1951	4	Dave Kemper	Patrick Sebranek	Verne Meyer	Dave Kemper - Patrick Sebranek - Verne Meyer			
1953	4	Patrick Sebranek	Dave Kemper	Verne Meyer	Patrick Sebranek - Dave Kemper - Verne Meyer			
1966	4	Suzanne H. Chapin	Nancy Canavan Anderson	Catherine O�connor	Suzanne H. Chapin - Nancy Canavan Anderson - Catherine O�connor			
0009	3	T. W. Graham Solomons	Craig B. Fryhle	T. W. Graham Solomons - Craig B. Fryhle				
0021	3	E. J. N. Wilson	Edmund Wilson	E. J. N. Wilson - Edmund Wilson				
0039	3	Peter A. Levine	Ann Frederick	Peter A. Levine - Ann Frederick				
0042	3	Ronald J. Ebert	Ricky W. Griffin	Ronald J. Ebert - Ricky W. Griffin				
0049	3	Robert Kreitner	Angelo Kinicki	Robert Kreitner - Angelo Kinicki				
0067	3	Liz Vacariello	Cynthia Sass	Liz Vacariello - Cynthia Sass				
0090	3	Robert T. Kiyosaki	Sharon L. Lechter	Robert T. Kiyosaki - Sharon L. Lechter				
0095	3	Peter Marshall	David Manuel	Peter Marshall - David Manuel				
0117	3	Ann Spangler	Jean E. Syswerda	Ann Spangler - Jean E. Syswerda				
0120	3	Paramahansa Yogananda	Yogananda	Paramahansa Yogananda - Yogananda				
0123	3	James Gurney	Turner Pub	James Gurney - Turner Pub				
0166	3	Mary Buffett	David Clark	Mary Buffett - David Clark				
0167	3	Jared M. Diamond	Jared Diamond	Jared M. Diamond - Jared Diamond				
0183	3	Kai Bird	Martin J. Sherwin	Kai Bird - Martin J. Sherwin				
0187	3	Sebastian Junger	Junger Sebastian	Sebastian Junger - Junger Sebastian				
0194	3	T. Lobsang Rampa	T. Lobsang	T. Lobsang Rampa - T. Lobsang				
