book	barnesandnoble	author					
2000	2000	2372	1753				
1093	6	Jaid Black	Ann Jacobs	Lorie O'Clare	Cheyenne McCray	Jaci Burton	Jaid Black - Ann Jacobs - Lorie O'Clare - Cheyenne McCray - Jaci Burton
1491	6	Rose Levy Beranbaum	Maria Guarnaschelli	Vincent Lee	Manuela Paul	Dean G. Bornstein	Rose Levy Beranbaum - Maria Guarnaschelli - Vincent Lee - Manuela Paul - Dean G. Bornstein
0629	5	Cheryl Forberg	Lisa Wheeler	Biggest Loser Experts and Cast	Melissa Roberson	Cheryl Forberg - Lisa Wheeler - Biggest Loser Experts and Cast - Melissa Roberson	
0831	5	Kerry Patterson	Joseph Grenny	Al Switzler	Ron McMillan	Kerry Patterson - Joseph Grenny - Al Switzler - Ron McMillan	
1019	5	Kenneth H. Blanchard	Jim Ballard	Chuck Thompkins	Thad Lacinak	Kenneth H. Blanchard - Jim Ballard - Chuck Thompkins - Thad Lacinak	
1103	5	Patricia Briggs	Eileen Wilks	Karen Chance	Sunny	Patricia Briggs - Eileen Wilks - Karen Chance - Sunny	
1382	5	David Friend	Judy Bachrach	Jim Windolf	Vanity Fair Editors	David Friend - Judy Bachrach - Jim Windolf - Vanity Fair Editors	
1668	5	Robert M. Kliegman	Richard E. Behrman	Hal B. Jenson	Bonita M.D. Stanton	Robert M. Kliegman - Richard E. Behrman - Hal B. Jenson - Bonita M.D. Stanton	
1878	5	Lora Leigh	Angela Knight	Anya Bast	Allyson James	Lora Leigh - Angela Knight - Anya Bast - Allyson James	
0007	4	Judy Katschke	Cliff Ruby	Elana Lesser	Judy Katschke - Cliff Ruby - Elana Lesser		
0058	4	N. J. Walters	Jan Springer	Susie Charles	N. J. Walters - Jan Springer - Susie Charles		
0160	4	A. Cort Sinnes	John Puscheck	Sinnes A Cort	A. Cort Sinnes - John Puscheck - Sinnes A Cort		
0162	4	Will Shortz	Peter Ritmeester	Pzzl.com	Will Shortz - Peter Ritmeester - Pzzl.com		
0241	4	Rod McQueen	Mike Lazaridis	Jim Balsillie	Rod McQueen - Mike Lazaridis - Jim Balsillie		
0312	4	Ken Blanchard	Spencer Johnson	Constance Johnson	Ken Blanchard - Spencer Johnson - Constance Johnson		
0322	4	Irma S. Rombauer	Marion Rombauer Becker	Ethan Becker	Irma S. Rombauer - Marion Rombauer Becker - Ethan Becker		
0359	4	Eliyahu M. Goldratt	Jeff Cox	David Whitford	Eliyahu M. Goldratt - Jeff Cox - David Whitford		
0396	4	Brian Dennis	Kirby Larson	Mary Nethery	Brian Dennis - Kirby Larson - Mary Nethery		
0485	4	Andrew M. Allison	W. Cleon Skousen	M. Richard Maxfield	Andrew M. Allison - W. Cleon Skousen - M. Richard Maxfield		
0516	4	Gena Showalter	Susan Krinard	Maggie Shayne	Gena Showalter - Susan Krinard - Maggie Shayne		
0520	4	American Academy Of Pediatrics	Steven P. Shelov	Tanya Remer Altmann	American Academy Of Pediatrics - Steven P. Shelov - Tanya Remer Altmann		
0545	4	Robert J. Marzano	Debra J. Pickering	Jane E. Pollock	Robert J. Marzano - Debra J. Pickering - Jane E. Pollock		
0571	4	Thomas Jefferson	Second Continental Congress	Constitutional Convention	Thomas Jefferson - Second Continental Congress - Constitutional Convention		
0614	4	Bob Greene	Janis Jibrin	John J. Merendino Jr.	Bob Greene - Janis Jibrin - John J. Merendino Jr.		
0630	4	Douglas Stone	Bruce Patton	Sheila Heen	Douglas Stone - Bruce Patton - Sheila Heen		
0751	4	Various	Irene Trimble	T. T. Sutherland	Various - Irene Trimble - T. T. Sutherland		
0762	4	Kathryn Colgrove	Judy Callicoatt	Ray A. Hargrove-Huttel	Kathryn Colgrove - Judy Callicoatt - Ray A. Hargrove-Huttel		
0781	4	Patrick Neely	Paula Disbrowe	Gina Neely	Patrick Neely - Paula Disbrowe - Gina Neely		
0790	4	Steve Englehart	Marv Wolfman	David Kraft	Steve Englehart - Marv Wolfman - David Kraft		
