book	booksamillion	author				
2000	2000	2645	1841			
0002	5	Glenn Beck	Kevin Balfe	Emily Bestler	Jack Henderson	Glenn Beck - Kevin Balfe - Emily Bestler - Jack Henderson
0040	5	Vassili Zaitsev	David Givens	Peter Kornakov	Konstantin Kornakov	Vassili Zaitsev - David Givens - Peter Kornakov - Konstantin Kornakov
0086	5	Thomas Keller	Dave Cruz	Susie Heller	Michael Ruhlman	Thomas Keller - Dave Cruz - Susie Heller - Michael Ruhlman
0096	5	Kiyo QJO	Nan Rymer	Ysabet Reinhardt MacFarlane	Daniella Orihuela-Gruber	Kiyo QJO - Nan Rymer - Ysabet Reinhardt MacFarlane - Daniella Orihuela-Gruber
0149	5	Kerry Patterson	Joseph Grenny	Ron McMillan	Al Switzler	Kerry Patterson - Joseph Grenny - Ron McMillan - Al Switzler
0183	5	Dan Zadra	Kobi Yamada	Kristel Wills	Steve Potter	Dan Zadra - Kobi Yamada - Kristel Wills - Steve Potter
0316	5	P. N. Elrod	Sherrilyn Kenyon	Charlaine Harris	L. A. Banks	P. N. Elrod - Sherrilyn Kenyon - Charlaine Harris - L. A. Banks
0442	5	Barbara Kingsolver	Camille Kingsolver	Steven L. Hopp	Richard A. Houser	Barbara Kingsolver - Camille Kingsolver - Steven L. Hopp - Richard A. Houser
0461	5	Kitty Richards	Caroline Egan	Adrienne Brown	Scott Tilley	Kitty Richards - Caroline Egan - Adrienne Brown - Scott Tilley
0536	5	Joe Kelly	Marc Guggenheim	Mike McKone	Marco Checchetto	Joe Kelly - Marc Guggenheim - Mike McKone - Marco Checchetto
0608	5	Kate L. Turabian	Wayne C. Booth	Gregory G. Colomb	Joseph M. Williams	Kate L. Turabian - Wayne C. Booth - Gregory G. Colomb - Joseph M. Williams
0665	5	Sampson Davis	George Jenkins	Rameck Hunt	Lisa Frazier Page	Sampson Davis - George Jenkins - Rameck Hunt - Lisa Frazier Page
0724	5	Kevin Jonas	Joe Jonas	Nick Jonas	Laura Morton	Kevin Jonas - Joe Jonas - Nick Jonas - Laura Morton
0801	5	Kim Harrison	Melissa Marr	Jeaniene Frost	Vicki Pettersson	Kim Harrison - Melissa Marr - Jeaniene Frost - Vicki Pettersson
0897	5	Lori Foster	Deirdre Martin	Jacquie D'Alessandro	Penny Mccall	Lori Foster - Deirdre Martin - Jacquie D'Alessandro - Penny Mccall
0920	5	Jamie Deen	Bobby Deen	Melissa Clark	Paula Deen	Jamie Deen - Bobby Deen - Melissa Clark - Paula Deen
0955	5	Jane O'Connor	Robin Preiss-Glasser	Aleksey Ivanov	Olga Ivanov	Jane O'Connor - Robin Preiss-Glasser - Aleksey Ivanov - Olga Ivanov
1003	5	Laurell K. Hamilton	Jonathon Green	Wellington Alves	Brett Booth	Laurell K. Hamilton - Jonathon Green - Wellington Alves - Brett Booth
1105	5	Bobbi Brown	Debra Bergsma Otte	Sally Wadyka	Henry Leutwyler	Bobbi Brown - Debra Bergsma Otte - Sally Wadyka - Henry Leutwyler
1157	5	Judith Bauer Stamper	John Speirs	Hope Gangloff	Joanna Cole	Judith Bauer Stamper - John Speirs - Hope Gangloff - Joanna Cole
1328	5	Elaine Meryl Brown	Marsha Haygood	Rhonda Joy Mclean	Angela Burt-Murray	Elaine Meryl Brown - Marsha Haygood - Rhonda Joy Mclean - Angela Burt-Murray
1468	5	Debra M. Eldredge	Delbert G. Carlson	Liisa D. Carlson	James M. Giffin	Debra M. Eldredge - Delbert G. Carlson - Liisa D. Carlson - James M. Giffin
1481	5	MaryJanice Davidson	Cheyenne McCray	Christine Warren	Lori Handeland	MaryJanice Davidson - Cheyenne McCray - Christine Warren - Lori Handeland
1490	5	Scott Beatty	Robert Greenburger	Phil Jiminez	Dan Wallace	Scott Beatty - Robert Greenburger - Phil Jiminez - Dan Wallace
1512	5	Travis Bradberry	Jean Greaves	Patrick Lencioni	Sue DeLazaro	Travis Bradberry - Jean Greaves - Patrick Lencioni - Sue DeLazaro
1546	5	MaryJanice Davidson	Susan Grant	P. C. Cast	Gena Showalter	MaryJanice Davidson - Susan Grant - P. C. Cast - Gena Showalter
1609	5	MaryJanice Davidson	Michele Hauf	Lois Greiman	Leandra Logan	MaryJanice Davidson - Michele Hauf - Lois Greiman - Leandra Logan
1639	5	Tom Brevoort	Tom DeFalco	Todd Dezago	J. M. Dematteis	Tom Brevoort - Tom DeFalco - Todd Dezago - J. M. Dematteis
1702	5	Kimberly Morris	Denise Shimabukuro	Adrienne Brown	Charles Pickens	Kimberly Morris - Denise Shimabukuro - Adrienne Brown - Charles Pickens
1727	5	Alexander Hamilton	James Madison	John Jay	Garry Wills	Alexander Hamilton - James Madison - John Jay - Garry Wills
1741	5	Aaron Sigmond	Nick Kolakowski	Leroy Neiman	Joe Mantegna	Aaron Sigmond - Nick Kolakowski - Leroy Neiman - Joe Mantegna
1775	5	John Jackson Miller	Ron Chan	Brian Ching	Bong Dazo	John Jackson Miller - Ron Chan - Brian Ching - Bong Dazo
1878	5	Imagineers	Melody Malmberg	Robert Iger	Jay Rasulo	Imagineers - Melody Malmberg - Robert Iger - Jay Rasulo
1891	5	Bill Martin	John Archambault	Lois Ehlert	Ray Charles	Bill Martin - John Archambault - Lois Ehlert - Ray Charles
1934	5	Maggie Testa	Jon Scieszka	David Shannon	Loren Long	Maggie Testa - Jon Scieszka - David Shannon - Loren Long
1935	5	Billy Tan	Ryan Stegman	David Aja	Chris Giarrusso	Billy Tan - Ryan Stegman - David Aja - Chris Giarrusso
0046	4	Glenn Beck	Kevin Balfe	Jason Wright	Glenn Beck - Kevin Balfe - Jason Wright	
0056	4	Dan Abnett	Andy Lanning	Brad Walker	Dan Abnett - Andy Lanning - Brad Walker	
0079	4	John Kotter	Holger Rathgeber	Peter Mueller	John Kotter - Holger Rathgeber - Peter Mueller	
0132	4	Kenneth H. Blanchard	Spencer Johnson	D. Kenneth Blanchard	Kenneth H. Blanchard - Spencer Johnson - D. Kenneth Blanchard	
0136	4	Jon Gosselin	Kate Gosselin	Beth Carson	Jon Gosselin - Kate Gosselin - Beth Carson	
0168	4	Mike Greenberg	Mike Golic	Andrew Chaikivsky	Mike Greenberg - Mike Golic - Andrew Chaikivsky	
0169	4	Brian Dennis	Kirby Larson	Mary Nethery	Brian Dennis - Kirby Larson - Mary Nethery	
0190	4	Stephenie Meyer	Ilyana Kadushin	Matt Walters	Stephenie Meyer - Ilyana Kadushin - Matt Walters	
0204	4	Anne Frank	B. M. Mooyaart-Doubleday	Eleanor Roosevelt	Anne Frank - B. M. Mooyaart-Doubleday - Eleanor Roosevelt	
0275	4	Larry Bird	Earvin Johnson	Jackie MacMullan	Larry Bird - Earvin Johnson - Jackie MacMullan	
0311	4	Ron Hall	Denver Moore	Lynn Vincent	Ron Hall - Denver Moore - Lynn Vincent	
0315	4	Heidi Murkoff	Arlene Eisenberg	Sandee Hathaway	Heidi Murkoff - Arlene Eisenberg - Sandee Hathaway	
0335	4	Joseph Delaney	Tim Foley	Patrick Arrasmith	Joseph Delaney - Tim Foley - Patrick Arrasmith	
0352	4	Ron Hall	Denver Moore	Lynn Vincent	Ron Hall - Denver Moore - Lynn Vincent	
