movie	allmovie	genre					
2000	1998	2738	26				
0367	6	Thriller	Spy Film	Action	Adventure	Comedy	Thriller - Spy Film - Action - Adventure - Comedy
0132	5	Drama	Children's/Family	Fantasy	Mystery	Drama - Children's/Family - Fantasy - Mystery	
0373	5	Spy Film	Action	Adventure	Comedy	Spy Film - Action - Adventure - Comedy	
0389	5	Thriller	Spy Film	Action	Adventure	Thriller - Spy Film - Action - Adventure	
1077	5	Children's/Family	Science Fiction	Action	Adventure	Children's/Family - Science Fiction - Action - Adventure	
1374	5	Adventure	Science Fiction	Fantasy	Action	Adventure - Science Fiction - Fantasy - Action	
1669	5	Science Fiction	Fantasy	Adventure	Comedy	Science Fiction - Fantasy - Adventure - Comedy	
1711	5	Fantasy	Musical	Romance	Children's/Family	Fantasy - Musical - Romance - Children's/Family	
1891	5	Drama	Action	Adventure	Western	Drama - Action - Adventure - Western	
0075	4	Comedy	Fantasy	Romance	Comedy - Fantasy - Romance		
0090	4	Fantasy	Musical	Children's/Family	Fantasy - Musical - Children's/Family		
0093	4	Children's/Family	Musical	Fantasy	Children's/Family - Musical - Fantasy		
0098	4	Adventure	Children's/Family	Spy Film	Adventure - Children's/Family - Spy Film		
0114	4	Children's/Family	Comedy	Musical	Children's/Family - Comedy - Musical		
0169	4	Historical Film	Romance	Drama	Historical Film - Romance - Drama		
0179	4	Adventure	Fantasy	Children's/Family	Adventure - Fantasy - Children's/Family		
0186	4	Adventure	Drama	Historical Film	Adventure - Drama - Historical Film		
0192	4	Adventure	Musical	Children's/Family	Adventure - Musical - Children's/Family		
0201	4	Action	Adventure	Children's/Family	Action - Adventure - Children's/Family		
0298	4	Romance	Crime	Drama	Romance - Crime - Drama		
0336	4	Fantasy	Musical	Children's/Family	Fantasy - Musical - Children's/Family		
0370	4	Action	Spy Film	War	Action - Spy Film - War		
0386	4	Adventure	Spy Film	Action	Adventure - Spy Film - Action		
0390	4	Spy Film	Action	Crime	Spy Film - Action - Crime		
0396	4	Comedy	Spy Film	Action	Comedy - Spy Film - Action		
0398	4	Drama	Spy Film	Action	Drama - Spy Film - Action		
0399	4	Spy Film	Action	Drama	Spy Film - Action - Drama		
0401	4	Spy Film	Action	Comedy	Spy Film - Action - Comedy		
0432	4	Action	Drama	War	Action - Drama - War		
0879	4	Children's/Family	Adventure	Fantasy	Children's/Family - Adventure - Fantasy		
0890	4	Drama	Action	Adventure	Drama - Action - Adventure		
0902	4	Horror	Comedy	Science Fiction	Horror - Comedy - Science Fiction		
1017	4	Romance	Action	Drama	Romance - Action - Drama		
1045	4	Action	Western	Comedy	Action - Western - Comedy		
1309	4	Comedy	Fantasy	Children's/Family	Comedy - Fantasy - Children's/Family		
1315	4	Musical	Children's/Family	Fantasy	Musical - Children's/Family - Fantasy		
1332	4	Adventure	Children's/Family	Fantasy	Adventure - Children's/Family - Fantasy		
1342	4	Comedy	Fantasy	Children's/Family	Comedy - Fantasy - Children's/Family		
1345	4	Action	Adventure	Children's/Family	Action - Adventure - Children's/Family		
