movie	hollywood	genre					
2000	2000	2576	37				
0679	6	Action	Drama	Fantasy	Crime	Romance	Action - Drama - Fantasy - Crime - Romance
0172	5	Action	Thriller	War	Romance	Action - Thriller - War - Romance	
0231	5	Drama	Fantasy	Crime	Thriller	Drama - Fantasy - Crime - Thriller	
0232	5	Drama	Fantasy	Mystery	Children's/family	Drama - Fantasy - Mystery - Children's/family	
0249	5	Drama	Crime	Horror	Thriller	Drama - Crime - Horror - Thriller	
0692	5	Action	Adventure	Drama	Science fiction	Action - Adventure - Drama - Science fiction	
1097	5	Drama	Mystery	Crime	Thriller	Drama - Mystery - Crime - Thriller	
1863	5	Spy film	Action	Science fiction	Thriller	Spy film - Action - Science fiction - Thriller	
0025	4	Spy film	Comedy	Science fiction	Spy film - Comedy - Science fiction		
0033	4	Action	Science fiction	Horror	Action - Science fiction - Horror		
0078	4	Comedy	Mystery	Thriller	Comedy - Mystery - Thriller		
0081	4	Action	Comedy	Science fiction	Action - Comedy - Science fiction		
0086	4	Adventure	Mystery	War	Adventure - Mystery - War		
0117	4	Spy film	Action	Adventure	Spy film - Action - Adventure		
0141	4	Spy film	Action	Comedy	Spy film - Action - Comedy		
0152	4	Spy film	Action	Comedy	Spy film - Action - Comedy		
0188	4	Action	Adventure	Crime	Action - Adventure - Crime		
0216	4	Action	Adventure	Fantasy	Action - Adventure - Fantasy		
0233	4	Action	Adventure	Children's/family	Action - Adventure - Children's/family		
0277	4	Fantasy	Musical	Children's/family	Fantasy - Musical - Children's/family		
0298	4	Action	Drama	Crime	Action - Drama - Crime		
0305	4	Action	Adventure	Children's/family	Action - Adventure - Children's/family		
0352	4	Action	Drama	Crime	Action - Drama - Crime		
0358	4	Action	Drama	Crime	Action - Drama - Crime		
0384	4	Action	Adventure	Drama	Action - Adventure - Drama		
0400	4	Adventure	Fantasy	Children's/family	Adventure - Fantasy - Children's/family		
0502	4	Action	Adventure	War	Action - Adventure - War		
0513	4	Action	Adventure	War	Action - Adventure - War		
0517	4	Action	Science fiction	Thriller	Action - Science fiction - Thriller		
0535	4	Spy film	Action	Adventure	Spy film - Action - Adventure		
0540	4	Science fiction	Horror	Thriller	Science fiction - Horror - Thriller		
0554	4	Drama	Mystery	Crime	Drama - Mystery - Crime		
0569	4	Crime	Thriller	Adult	Crime - Thriller - Adult		
0574	4	Drama	Crime	Adult	Drama - Crime - Adult		
0590	4	Action	Adventure	Science fiction	Action - Adventure - Science fiction		
0607	4	Visual arts	Film	tv & radio	Visual arts - Film - tv & radio		
0608	4	Fantasy	Science fiction	Romance	Fantasy - Science fiction - Romance		
0617	4	Comedy	Crime	Musical	Comedy - Crime - Musical		
0641	4	Fantasy	Musical	Children's/family	Fantasy - Musical - Children's/family		
0651	4	Action	Crime	Thriller	Action - Crime - Thriller		
0656	4	Visual arts	Film	tv & radio	Visual arts - Film - tv & radio		
0701	4	Adventure	Fantasy	Children's/family	Adventure - Fantasy - Children's/family		
0829	4	Spy film	Action	Drama	Spy film - Action - Drama		
0958	4	Adventure	Drama	Children's/family	Adventure - Drama - Children's/family		
1061	4	Culture & society	Film	tv & radio	Culture & society - Film - tv & radio		
1091	4	Adventure	Science fiction	Children's/family	Adventure - Science fiction - Children's/family		
1093	4	Action	Drama	Thriller	Action - Drama - Thriller		
1106	4	Action	Science fiction	Horror	Action - Science fiction - Horror		
1118	4	Visual arts	Culture & society	Music	Visual arts - Culture & society - Music		
1141	4	Spy film	Adventure	Children's/family	Spy film - Adventure - Children's/family		
