movie	iheartmovies	genre							
2000	1974	4641	21						
1029	8	Action	Animation	Comedy	Crime	Drama	Romance	Thriller	Action - Animation - Comedy - Crime - Drama - Romance - Thriller
1569	8	Adventure	Comedy	Drama	Fantasy	Horror	Mystery	Scifi	Adventure - Comedy - Drama - Fantasy - Horror - Mystery - Scifi
1654	8	Action	Adventure	Comedy	Drama	Fantasy	Horror	Thriller	Action - Adventure - Comedy - Drama - Fantasy - Horror - Thriller
0039	7	Action	Adventure	Drama	Fantasy	Scifi	Thriller	Action - Adventure - Drama - Fantasy - Scifi - Thriller	
0084	7	Adventure	Biography	Comedy	Crime	Drama	Romance	Adventure - Biography - Comedy - Crime - Drama - Romance	
0289	7	Action	Adventure	Comedy	Crime	Romance	Thriller	Action - Adventure - Comedy - Crime - Romance - Thriller	
0344	7	Adventure	Animation	Comedy	Fantasy	Musical	Romance	Adventure - Animation - Comedy - Fantasy - Musical - Romance	
0546	7	Action	Adventure	Animation	Fantasy	Horror	Scifi	Action - Adventure - Animation - Fantasy - Horror - Scifi	
0706	7	Action	Adventure	Fantasy	Horror	Romance	Thriller	Action - Adventure - Fantasy - Horror - Romance - Thriller	
0718	7	Action	Adventure	Animation	Comedy	Fantasy	Romance	Action - Adventure - Animation - Comedy - Fantasy - Romance	
0736	7	Adventure	Animation	Comedy	Drama	Fantasy	Musical	Adventure - Animation - Comedy - Drama - Fantasy - Musical	
0881	7	Action	Crime	Drama	Mystery	Scifi	Thriller	Action - Crime - Drama - Mystery - Scifi - Thriller	
1249	7	Action	Adventure	Crime	Drama	Mystery	Thriller	Action - Adventure - Crime - Drama - Mystery - Thriller	
1296	7	Comedy	Crime	Drama	Mystery	Musical	Romance	Comedy - Crime - Drama - Mystery - Musical - Romance	
1326	7	Action	Adventure	Fantasy	Mystery	Romance	Scifi	Action - Adventure - Fantasy - Mystery - Romance - Scifi	
1496	7	Action	Crime	Drama	Fantasy	Horror	Thriller	Action - Crime - Drama - Fantasy - Horror - Thriller	
0014	6	Action	Comedy	Crime	Drama	Thriller	Action - Comedy - Crime - Drama - Thriller		
0025	6	Adventure	Animation	Comedy	Musical	Romance	Adventure - Animation - Comedy - Musical - Romance		
0135	6	Animation	Fantasy	Family	Musical	Romance	Animation - Fantasy - Family - Musical - Romance		
0174	6	Action	Drama	Fantasy	Horror	Thriller	Action - Drama - Fantasy - Horror - Thriller		
0178	6	Action	Animation	Comedy	Fantasy	Mystery	Action - Animation - Comedy - Fantasy - Mystery		
0181	6	Crime	Drama	Horror	Mystery	Thriller	Crime - Drama - Horror - Mystery - Thriller		
0203	6	Biography	Crime	Drama	Horror	Thriller	Biography - Crime - Drama - Horror - Thriller		
0455	6	Comedy	Drama	Mystery	Romance	Thriller	Comedy - Drama - Mystery - Romance - Thriller		
0457	6	Action	Adventure	Comedy	Horror	Scifi	Action - Adventure - Comedy - Horror - Scifi		
0547	6	Action	Adventure	Animation	Fantasy	Scifi	Action - Adventure - Animation - Fantasy - Scifi		
0550	6	Action	Adventure	Comedy	Horror	Scifi	Action - Adventure - Comedy - Horror - Scifi		
