movie	imdb	genre								
2000	2000	5607	22							
0712	9	Adventure	Animation	Drama	Fantasy	Romance	Action	Sci-Fi	Thriller	Adventure - Animation - Drama - Fantasy - Romance - Action - Sci-Fi - Thriller
1018	9	Action	Crime	Drama	Fantasy	Music	Mystery	Sci-Fi	Thriller	Action - Crime - Drama - Fantasy - Music - Mystery - Sci-Fi - Thriller
0257	8	Animation	Action	Adventure	Comedy	Family	Fantasy	Romance	Animation - Action - Adventure - Comedy - Family - Fantasy - Romance	
1460	8	Animation	Action	Adventure	Comedy	Crime	Fantasy	Thriller	Animation - Action - Adventure - Comedy - Crime - Fantasy - Thriller	
1974	8	Action	Adventure	Comedy	Crime	Drama	Romance	Thriller	Action - Adventure - Comedy - Crime - Drama - Romance - Thriller	
0084	7	Action	Adventure	Comedy	Drama	Family	War	Action - Adventure - Comedy - Drama - Family - War		
0229	7	Biography	Comedy	Drama	Music	Romance	War	Biography - Comedy - Drama - Music - Romance - War		
0243	7	Animation	Action	Adventure	Family	Fantasy	Thriller	Animation - Action - Adventure - Family - Fantasy - Thriller		
0387	7	Action	Adventure	Comedy	Drama	History	Romance	Action - Adventure - Comedy - Drama - History - Romance		
0421	7	Action	Adventure	Animation	Family	Fantasy	Sci-Fi	Action - Adventure - Animation - Family - Fantasy - Sci-Fi		
0428	7	Animation	Adventure	Comedy	Drama	Family	Fantasy	Animation - Adventure - Comedy - Drama - Family - Fantasy		
0513	7	Animation	Crime	Drama	Mystery	Sci-Fi	Thriller	Animation - Crime - Drama - Mystery - Sci-Fi - Thriller		
0688	7	Action	Adventure	Comedy	Crime	Drama	Romance	Action - Adventure - Comedy - Crime - Drama - Romance		
0759	7	Animation	Action	Adventure	Fantasy	Sci-Fi	Thriller	Animation - Action - Adventure - Fantasy - Sci-Fi - Thriller		
0989	7	Animation	Adventure	Fantasy	Mystery	Sci-Fi	Thriller	Animation - Adventure - Fantasy - Mystery - Sci-Fi - Thriller		
1016	7	Animation	Adventure	Comedy	Family	Romance	Sci-Fi	Animation - Adventure - Comedy - Family - Romance - Sci-Fi		
1058	7	Action	Drama	Horror	Mystery	Sci-Fi	Thriller	Action - Drama - Horror - Mystery - Sci-Fi - Thriller		
1219	7	Biography	Crime	Drama	History	Mystery	Thriller	Biography - Crime - Drama - History - Mystery - Thriller		
1231	7	Action	Adventure	Comedy	Family	History	Romance	Action - Adventure - Comedy - Family - History - Romance		
1289	7	Action	Biography	Drama	History	Romance	War	Action - Biography - Drama - History - Romance - War		
1386	7	Action	Adventure	Drama	History	Thriller	War	Action - Adventure - Drama - History - Thriller - War		
1465	7	Action	Adventure	Comedy	Family	Fantasy	Mystery	Action - Adventure - Comedy - Family - Fantasy - Mystery		
1563	7	Action	Adventure	Drama	Horror	Sci-Fi	Thriller	Action - Adventure - Drama - Horror - Sci-Fi - Thriller		
1700	7	Action	Adventure	Comedy	Crime	Drama	Thriller	Action - Adventure - Comedy - Crime - Drama - Thriller		
0007	6	Action	Biography	Drama	History	War	Action - Biography - Drama - History - War			
0009	6	Action	Crime	Mystery	Sci-Fi	Thriller	Action - Crime - Mystery - Sci-Fi - Thriller			
0021	6	Action	Crime	Drama	Romance	Thriller	Action - Crime - Drama - Romance - Thriller			
0022	6	Animation	Action	Adventure	Family	Fantasy	Animation - Action - Adventure - Family - Fantasy			
0023	6	Adventure	Drama	Mystery	Sci-Fi	Thriller	Adventure - Drama - Mystery - Sci-Fi - Thriller			
0034	6	Biography	Crime	Drama	History	Western	Biography - Crime - Drama - History - Western			
0043	6	Comedy	Family	Fantasy	Musical	Romance	Comedy - Family - Fantasy - Musical - Romance			
0076	6	Crime	Drama	Music	Mystery	Thriller	Crime - Drama - Music - Mystery - Thriller			
0091	6	Comedy	Drama	Family	Music	Romance	Comedy - Drama - Family - Music - Romance			
0098	6	Comedy	Crime	Mystery	Sci-Fi	Thriller	Comedy - Crime - Mystery - Sci-Fi - Thriller			
0100	6	Action	Adventure	Family	Sci-Fi	Thriller	Action - Adventure - Family - Sci-Fi - Thriller			
0188	6	Drama	Horror	Mystery	Thriller	War	Drama - Horror - Mystery - Thriller - War			
0215	6	Biography	Crime	Drama	Horror	Thriller	Biography - Crime - Drama - Horror - Thriller			
0245	6	Action	Drama	Fantasy	Horror	Sci-Fi	Action - Drama - Fantasy - Horror - Sci-Fi			
0287	6	Comedy	Crime	Drama	Romance	Thriller	Comedy - Crime - Drama - Romance - Thriller			
0331	6	Drama	Horror	Mystery	Sci-Fi	Thriller	Drama - Horror - Mystery - Sci-Fi - Thriller			
0335	6	Action	Crime	Drama	Mystery	Thriller	Action - Crime - Drama - Mystery - Thriller			
0337	6	Action	Fantasy	Romance	Sci-Fi	Thriller	Action - Fantasy - Romance - Sci-Fi - Thriller			
0390	6	Adventure	Comedy	Family	Fantasy	Horror	Adventure - Comedy - Family - Fantasy - Horror			
0402	6	Adventure	Comedy	Crime	Family	Mystery	Adventure - Comedy - Crime - Family - Mystery			
0489	6	Crime	Drama	Horror	Mystery	Thriller	Crime - Drama - Horror - Mystery - Thriller			
0519	6	Action	Adventure	Comedy	Fantasy	Romance	Action - Adventure - Comedy - Fantasy - Romance			
0544	6	Comedy	Drama	Horror	Romance	Thriller	Comedy - Drama - Horror - Romance - Thriller			
0552	6	Action	Adventure	Comedy	Fantasy	Romance	Action - Adventure - Comedy - Fantasy - Romance			
0560	6	Animation	Action	Adventure	Fantasy	Thriller	Animation - Action - Adventure - Fantasy - Thriller			
0593	6	Action	Adventure	Mystery	Sci-Fi	Thriller	Action - Adventure - Mystery - Sci-Fi - Thriller			
0673	6	Action	Crime	Drama	Mystery	Thriller	Action - Crime - Drama - Mystery - Thriller			
0677	6	Action	Adventure	Biography	Drama	War	Action - Adventure - Biography - Drama - War			
0678	6	Action	Adventure	Comedy	Crime	Romance	Action - Adventure - Comedy - Crime - Romance			
0727	6	Adventure	Comedy	Drama	Fantasy	Romance	Adventure - Comedy - Drama - Fantasy - Romance			
0747	6	Adventure	Comedy	Family	Fantasy	Horror	Adventure - Comedy - Family - Fantasy - Horror			
0755	6	Drama	Fantasy	Mystery	Sci-Fi	Thriller	Drama - Fantasy - Mystery - Sci-Fi - Thriller			
0773	6	Animation	Action	Fantasy	Horror	Thriller	Animation - Action - Fantasy - Horror - Thriller			
0809	6	Animation	Adventure	Comedy	Fantasy	Romance	Animation - Adventure - Comedy - Fantasy - Romance			
0818	6	Action	Crime	Mystery	Romance	Thriller	Action - Crime - Mystery - Romance - Thriller			
0819	6	Crime	Drama	History	Mystery	Thriller	Crime - Drama - History - Mystery - Thriller			
0826	6	Action	Drama	History	Thriller	War	Action - Drama - History - Thriller - War			
0943	6	Action	Horror	Adventure	Mystery	Thriller	Action - Horror - Adventure - Mystery - Thriller			
0948	6	Action	Crime	Drama	Mystery	Thriller	Action - Crime - Drama - Mystery - Thriller			
0968	6	Drama	Horror	Mystery	Sci-Fi	Thriller	Drama - Horror - Mystery - Sci-Fi - Thriller			
0978	6	Animation	Action	Adventure	Comedy	Family	Animation - Action - Adventure - Comedy - Family			
0983	6	Action	Adventure	Fantasy	Romance	Thriller	Action - Adventure - Fantasy - Romance - Thriller			
0993	6	Adventure	Biography	Drama	History	War	Adventure - Biography - Drama - History - War			
1009	6	Action	Crime	Drama	Mystery	Thriller	Action - Crime - Drama - Mystery - Thriller			
1025	6	Comedy	Drama	Horror	Sci-Fi	Thriller	Comedy - Drama - Horror - Sci-Fi - Thriller			
1041	6	Adventure	Comedy	Family	Fantasy	Mystery	Adventure - Comedy - Family - Fantasy - Mystery			
1049	6	Action	Crime	Drama	Romance	Thriller	Action - Crime - Drama - Romance - Thriller			
1056	6	Action	Adventure	Horror	Sci-Fi	Thriller	Action - Adventure - Horror - Sci-Fi - Thriller			
1065	6	Action	Adventure	Family	Sci-Fi	Thriller	Action - Adventure - Family - Sci-Fi - Thriller			
1079	6	Action	Adventure	Comedy	Family	Sci-Fi	Action - Adventure - Comedy - Family - Sci-Fi			
1083	6	Crime	Drama	Mystery	Thriller	War	Crime - Drama - Mystery - Thriller - War			
1087	6	Action	Crime	Drama	Mystery	Thriller	Action - Crime - Drama - Mystery - Thriller			
1098	6	Action	Adventure	Drama	Fantasy	Romance	Action - Adventure - Drama - Fantasy - Romance			
1100	6	Action	Adventure	Drama	History	War	Action - Adventure - Drama - History - War			
1104	6	Adventure	Drama	Family	Fantasy	Sci-Fi	Adventure - Drama - Family - Fantasy - Sci-Fi			
1115	6	Drama	Mystery	Romance	Sci-Fi	Thriller	Drama - Mystery - Romance - Sci-Fi - Thriller			
1149	6	Animation	Comedy	Family	Fantasy	Mystery	Animation - Comedy - Family - Fantasy - Mystery			
1160	6	Animation	Action	Adventure	Fantasy	Sci-Fi	Animation - Action - Adventure - Fantasy - Sci-Fi			
1171	6	Drama	Fantasy	Horror	Romance	Thriller	Drama - Fantasy - Horror - Romance - Thriller			
1172	6	Action	Adventure	Comedy	Family	Sci-Fi	Action - Adventure - Comedy - Family - Sci-Fi			
1175	6	Action	Adventure	Comedy	Family	Romance	Action - Adventure - Comedy - Family - Romance			
1184	6	Comedy	Drama	Family	Fantasy	Music	Comedy - Drama - Family - Fantasy - Music			
1201	6	Drama	Romance	Comedy	Crime	Fantasy	Drama - Romance - Comedy - Crime - Fantasy			
1203	6	Crime	Drama	Horror	Mystery	Thriller	Crime - Drama - Horror - Mystery - Thriller			
1218	6	Animation	Action	Adventure	Sci-Fi	Thriller	Animation - Action - Adventure - Sci-Fi - Thriller			
1224	6	Action	Adventure	Comedy	Fantasy	Sci-Fi	Action - Adventure - Comedy - Fantasy - Sci-Fi			
1234	6	Action	Crime	Drama	Mystery	Thriller	Action - Crime - Drama - Mystery - Thriller			
1244	6	Action	Adventure	Crime	Mystery	Thriller	Action - Adventure - Crime - Mystery - Thriller			
1271	6	Animation	Adventure	Comedy	Family	Fantasy	Animation - Adventure - Comedy - Family - Fantasy			
1287	6	Crime	Drama	Mystery	Thriller	Action	Crime - Drama - Mystery - Thriller - Action			
1292	6	Action	Comedy	Drama	Family	Sport	Action - Comedy - Drama - Family - Sport			
1318	6	Adventure	Drama	History	War	Western	Adventure - Drama - History - War - Western			
1332	6	Comedy	Crime	Drama	Mystery	Romance	Comedy - Crime - Drama - Mystery - Romance			
1333	6	Action	Drama	History	Romance	War	Action - Drama - History - Romance - War			
1336	6	Drama	Mystery	Romance	Thriller	War	Drama - Mystery - Romance - Thriller - War			
1344	6	Biography	Drama	History	Thriller	War	Biography - Drama - History - Thriller - War			
1360	6	Comedy	Crime	Drama	Thriller	War	Comedy - Crime - Drama - Thriller - War			
1364	6	Fantasy	Horror	Mystery	Sci-Fi	Thriller	Fantasy - Horror - Mystery - Sci-Fi - Thriller			
1375	6	Adventure	Family	Fantasy	Sci-Fi	Thriller	Adventure - Family - Fantasy - Sci-Fi - Thriller			
1417	6	Animation	Adventure	Family	Romance	Sci-Fi	Animation - Adventure - Family - Romance - Sci-Fi			
1435	6	Action	Drama	Comedy	Crime	Thriller	Action - Drama - Comedy - Crime - Thriller			
1436	6	Action	Adventure	Comedy	Family	Sci-Fi	Action - Adventure - Comedy - Family - Sci-Fi			
1439	6	Drama	Fantasy	History	Thriller	War	Drama - Fantasy - History - Thriller - War			
