movie	msn	genre				
2000	1903	3081	11			
0087	5	Family	Action	Drama	Sci-Fi	Family - Action - Drama - Sci-Fi
0150	5	Drama	Action	Comedy	Horror	Drama - Action - Comedy - Horror
0307	5	Sci-Fi	Action	Drama	Romance	Sci-Fi - Action - Drama - Romance
0461	5	Comedy	Drama	Sci-Fi	Romance	Comedy - Drama - Sci-Fi - Romance
0725	5	Sci-Fi	Drama	Horror	Action	Sci-Fi - Drama - Horror - Action
0732	5	Family	Romance	Comedy	Sci-Fi	Family - Romance - Comedy - Sci-Fi
0754	5	Family	Comedy	Drama	Action	Family - Comedy - Drama - Action
0817	5	Family	Horror	Sci-Fi	Comedy	Family - Horror - Sci-Fi - Comedy
0841	5	Comedy	Drama	Romance	War	Comedy - Drama - Romance - War
0857	5	Comedy	Drama	Action	Romance	Comedy - Drama - Action - Romance
0978	5	Family	Drama	Action	Sci-Fi	Family - Drama - Action - Sci-Fi
1153	5	Drama	Action	War	Romance	Drama - Action - War - Romance
1155	5	Family	Drama	Comedy	Action	Family - Drama - Comedy - Action
1251	5	Family	Drama	Action	Sci-Fi	Family - Drama - Action - Sci-Fi
1705	5	Sci-Fi	Drama	Comedy	Horror	Sci-Fi - Drama - Comedy - Horror
1722	5	Comedy	Sci-Fi	Horror	Musical	Comedy - Sci-Fi - Horror - Musical
1957	5	Comedy	Drama	Romance	Action	Comedy - Drama - Romance - Action
0003	4	Action	Sci-Fi	Horror	Action - Sci-Fi - Horror	
0004	4	Comedy	Action	Drama	Comedy - Action - Drama	
0019	4	Romance	Drama	Musical	Romance - Drama - Musical	
0041	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
0045	4	Drama	Action	Romance	Drama - Action - Romance	
0067	4	Sci-Fi	Action	Drama	Sci-Fi - Action - Drama	
0084	4	Family	Sci-Fi	Action	Family - Sci-Fi - Action	
0093	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
0099	4	Family	Sci-Fi	Horror	Family - Sci-Fi - Horror	
0159	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
0160	4	Family	Sci-Fi	Comedy	Family - Sci-Fi - Comedy	
0214	4	Sci-Fi	Action	Drama	Sci-Fi - Action - Drama	
0217	4	Comedy	Drama	Action	Comedy - Drama - Action	
0277	4	Comedy	Romance	Drama	Comedy - Romance - Drama	
0279	4	Comedy	Romance	Sci-Fi	Comedy - Romance - Sci-Fi	
0284	4	Family	Sci-Fi	Drama	Family - Sci-Fi - Drama	
0332	4	Family	Drama	Comedy	Family - Drama - Comedy	
0334	4	Sci-Fi	Action	Drama	Sci-Fi - Action - Drama	
0341	4	War	Drama	Romance	War - Drama - Romance	
0362	4	Comedy	Drama	Action	Comedy - Drama - Action	
0405	4	Comedy	Drama	Action	Comedy - Drama - Action	
0407	4	Action	Drama	Romance	Action - Drama - Romance	
0411	4	Family	Action	Drama	Family - Action - Drama	
0417	4	Family	Action	Sci-Fi	Family - Action - Sci-Fi	
0422	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
0445	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
0446	4	Family	Drama	Action	Family - Drama - Action	
0458	4	Family	Sci-Fi	Comedy	Family - Sci-Fi - Comedy	
0476	4	Sci-Fi	Drama	Romance	Sci-Fi - Drama - Romance	
0523	4	Drama	Action	Comedy	Drama - Action - Comedy	
0528	4	Action	Drama	Comedy	Action - Drama - Comedy	
0538	4	Action	Comedy	Sci-Fi	Action - Comedy - Sci-Fi	
0588	4	Sci-Fi	Horror	Action	Sci-Fi - Horror - Action	
0609	4	Action	Drama	Horror	Action - Drama - Horror	
0619	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
0630	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
0635	4	Family	Comedy	Sci-Fi	Family - Comedy - Sci-Fi	
0641	4	Drama	Action	Sci-Fi	Drama - Action - Sci-Fi	
0648	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
0651	4	Family	Sci-Fi	Drama	Family - Sci-Fi - Drama	
0655	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
0662	4	Family	Action	Comedy	Family - Action - Comedy	
0666	4	Sci-Fi	Drama	Action	Sci-Fi - Drama - Action	
0673	4	Horror	Action	Drama	Horror - Action - Drama	
0676	4	Comedy	Drama	Action	Comedy - Drama - Action	
0682	4	Drama	Horror	Action	Drama - Horror - Action	
0691	4	Family	Sci-Fi	Action	Family - Sci-Fi - Action	
0693	4	Drama	Action	War	Drama - Action - War	
0694	4	Family	Action	Sci-Fi	Family - Action - Sci-Fi	
0706	4	Family	Comedy	Action	Family - Comedy - Action	
0707	4	Comedy	Drama	Sci-Fi	Comedy - Drama - Sci-Fi	
0712	4	Family	Comedy	Sci-Fi	Family - Comedy - Sci-Fi	
0728	4	Sci-Fi	Drama	Documentary	Sci-Fi - Drama - Documentary	
0733	4	Action	Drama	Western	Action - Drama - Western	
0739	4	Family	Action	Drama	Family - Action - Drama	
0752	4	Comedy	Drama	Sci-Fi	Comedy - Drama - Sci-Fi	
0756	4	Comedy	Drama	Musical	Comedy - Drama - Musical	
0777	4	Comedy	Drama	Horror	Comedy - Drama - Horror	
0810	4	Sci-Fi	Action	Drama	Sci-Fi - Action - Drama	
0830	4	Drama	Comedy	Musical	Drama - Comedy - Musical	
0834	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
0839	4	Comedy	Drama	Romance	Comedy - Drama - Romance	
