movie	rottentomatoes	director		
2000	1998	2199	1651	
0010	3	Steve Boyum	Mickey Gilbert (II)	Steve Boyum - Mickey Gilbert (II)
0012	3	Burt Kennedy	David Cass (II)	Burt Kennedy - David Cass (II)
0013	3	Rod Daniel	Dan Goldberg	Rod Daniel - Dan Goldberg
0017	3	Brendan Malloy	Emmett Malloy	Brendan Malloy - Emmett Malloy
0018	3	Dave Borthwick	Jean Duval	Dave Borthwick - Jean Duval
0021	3	John Ford	Joshua Logan	John Ford - Joshua Logan
0029	3	Rolf Bickel	Dietrich Wagner	Rolf Bickel - Dietrich Wagner
0041	3	Ilisa Barbash	Lucien Castaing-Taylor	Ilisa Barbash - Lucien Castaing-Taylor
0069	3	Jim Fields	Michael Gramaglia	Jim Fields - Michael Gramaglia
0071	3	Ethan Coen	Joel Coen	Ethan Coen - Joel Coen
0094	3	Mark Dippe	Mark A.Z. Dipp�	Mark Dippe - Mark A.Z. Dipp�
0096	3	Ethan Coen	Joel Coen	Ethan Coen - Joel Coen
0104	3	Blake Edwards	Matthew Diamond	Blake Edwards - Matthew Diamond
0106	3	Aleksander Popovski	Darko Mitrevski	Aleksander Popovski - Darko Mitrevski
0117	3	Stuart Samuels	Arnold Glassman	Stuart Samuels - Arnold Glassman
0123	3	Margaret Brown	Margaret Browne	Margaret Brown - Margaret Browne
0132	3	George Dunning	Dick Emery	George Dunning - Dick Emery
0134	3	Baltasar Kormaker	Baltasar Korm�kur	Baltasar Kormaker - Baltasar Korm�kur
0147	3	Shari Springer Berman	Robert Pulcini	Shari Springer Berman - Robert Pulcini
0163	3	Grigori Chukhraj & Valentin Yezhov	Grigori Chukhrai	Grigori Chukhraj & Valentin Yezhov - Grigori Chukhrai
0166	3	Rob Epstein	Jeffrey Friedman	Rob Epstein - Jeffrey Friedman
0168	3	Jim Brown (XIX)	Gary Burns	Jim Brown (XIX) - Gary Burns
0170	3	Frances Reid	Deborah Hoffmann	Frances Reid - Deborah Hoffmann
0171	3	Paul Sletaune	P�l Sletaune	Paul Sletaune - P�l Sletaune
0178	3	Lori Silverbush	Michael Skolnik	Lori Silverbush - Michael Skolnik
0194	3	Elmar Klos	J�n Kad�r	Elmar Klos - J�n Kad�r
0210	3	Dick Zondag	John Howard Davies	Dick Zondag - John Howard Davies
0219	3	William Arntz	Betsy Chasse	William Arntz - Betsy Chasse
0231	3	Alexander H. Browne	Christopher Browne	Alexander H. Browne - Christopher Browne
0241	3	Hamilton Luske	Wilfred Jackson	Hamilton Luske - Wilfred Jackson
0244	3	Clyde Bruckman	Buster Keaton	Clyde Bruckman - Buster Keaton
0256	3	Tomm Moore	Nora Twomey	Tomm Moore - Nora Twomey
0258	3	Chris Hegedus	Jehane Noujaim	Chris Hegedus - Jehane Noujaim
0308	3	Marcel Sarmiento	Gadi Harel	Marcel Sarmiento - Gadi Harel
0310	3	Melvin Frank	Norman Panama	Melvin Frank - Norman Panama
0314	3	Mark Achbar	Jennifer Abbott	Mark Achbar - Jennifer Abbott
0318	3	Jonathan Dayton	Valerie Faris	Jonathan Dayton - Valerie Faris
0321	3	James Hill	Tom McGowan	James Hill - Tom McGowan
0323	3	Daniel Davis [Edward D. Wood Jr.]	Edward D. Wood Jr.	Daniel Davis [Edward D. Wood Jr.] - Edward D. Wood Jr.
0326	3	Lodge H. Kerrigan	Lodge Kerrigan	Lodge H. Kerrigan - Lodge Kerrigan
0328	3	Edmund Goulding	Howard Hughes	Edmund Goulding - Howard Hughes
0348	3	Dwight H. Little	Dwight Little	Dwight H. Little - Dwight Little
0350	3	Akiva Daum	Honorata Matuszezyk Mucha	Akiva Daum - Honorata Matuszezyk Mucha
0353	3	Jennifer Grausman	Mark Becker	Jennifer Grausman - Mark Becker
0357	3	Chris Hegedus	Donn Alan Pennebaker	Chris Hegedus - Donn Alan Pennebaker
0372	3	Joel Coen	Ethan Coen	Joel Coen - Ethan Coen
0376	3	Johnathan Demme	Jonathan Demme	Johnathan Demme - Jonathan Demme
0381	3	Barbara Kopple	Cecilia Peck	Barbara Kopple - Cecilia Peck
0407	3	Bill Weber	David Weissman	Bill Weber - David Weissman
0414	3	Satoshi Kon	Sh�go Furuya	Satoshi Kon - Sh�go Furuya
0415	3	Sandi DuBowski	Sandi Simcha Dubowski	Sandi DuBowski - Sandi Simcha Dubowski
0421	3	Andrew Adamson	Victoria Jenson	Andrew Adamson - Victoria Jenson
0423	3	Ethan Coen	Joel Coen	Ethan Coen - Joel Coen
0445	3	Loretta Alper	Jeremy Earp	Loretta Alper - Jeremy Earp
0460	3	Andy Wachowski	Larry Wachowski	Andy Wachowski - Larry Wachowski
0465	3	Joe Gantz	Harry Gantz	Joe Gantz - Harry Gantz
0482	3	Joe Berlinger	Bruce Sinofsky	Joe Berlinger - Bruce Sinofsky
0484	3	John Stevenson	Mark Osborne	John Stevenson - Mark Osborne
0492	3	Andrew Wilson	Luke Wilson	Andrew Wilson - Luke Wilson
0495	3	Charles Russell	Chuck Russell	Charles Russell - Chuck Russell
0499	3	Tom Betts	Peter Galison	Tom Betts - Peter Galison
0529	3	Jean-Pierre Dardenne	Luc Dardenne	Jean-Pierre Dardenne - Luc Dardenne
0536	3	Warren Beatty	Buck Henry	Warren Beatty - Buck Henry
0544	3	Maureen Castle Tusty	James Tusty	Maureen Castle Tusty - James Tusty
0554	3	Franco Zeffirelli	Artie Mandelberg	Franco Zeffirelli - Artie Mandelberg
0563	3	Ed Bianchi	Edward Bianchi	Ed Bianchi - Edward Bianchi
0569	3	Don Bluth	Gary Goldman	Don Bluth - Gary Goldman
0576	3	St�phane Aubier	Vincent Patar	St�phane Aubier - Vincent Patar
0591	3	John Lounsbery	Wolfgang Reitherman	John Lounsbery - Wolfgang Reitherman
0606	3	Tom Hunsinger	Neil Hunter	Tom Hunsinger - Neil Hunter
0609	3	James Cameron	Steven Quale	James Cameron - Steven Quale
0619	3	Tim Burton	Mike Johnson	Tim Burton - Mike Johnson
0640	3	Claude Nuridsany	Marie P�rennou	Claude Nuridsany - Marie P�rennou
0641	3	Jeremy Earp	Sut Jhally	Jeremy Earp - Sut Jhally
0645	3	Dominique Abel	Fiona Gordon	Dominique Abel - Fiona Gordon
0681	3	Lynn Hershmann-Leeson	Lynn Hershman-Leeson	Lynn Hershmann-Leeson - Lynn Hershman-Leeson
0687	3	Lisa Lax	Nancy Stern	Lisa Lax - Nancy Stern
0697	3	Amir Mann	Dana Janklowicz-Mann	Amir Mann - Dana Janklowicz-Mann
0698	3	Richard Berge	Bonni Cohen	Richard Berge - Bonni Cohen
0712	3	Pierre Coffin	Chris Renaud	Pierre Coffin - Chris Renaud
0726	3	Max Giwa	Dania Pasquini	Max Giwa - Dania Pasquini
0739	3	Brian Koppelman	David Levien	Brian Koppelman - David Levien
0784	3	Jeremy Marre	Kristin Hahn	Jeremy Marre - Kristin Hahn
0799	3	Stuart Raffill	Stewart Raffill	Stuart Raffill - Stewart Raffill
0805	3	Leif Tilden	Mark Poggi	Leif Tilden - Mark Poggi
0813	3	Ethan Coen	Joel Coen	Ethan Coen - Joel Coen
0819	3	Stephen Fell	Will Thompson	Stephen Fell - Will Thompson
0820	3	Lexy Lovell	Michael Uys	Lexy Lovell - Michael Uys
0822	3	Stephen Higgins	Nina Gilden Seavey	Stephen Higgins - Nina Gilden Seavey
0833	3	Andrew Traucki	David Nerlich	Andrew Traucki - David Nerlich
0839	3	Georgina Garcia Riedel	Georgina Riedel	Georgina Garcia Riedel - Georgina Riedel
0851	3	Andrew Davis	Mickey Gilbert (II)	Andrew Davis - Mickey Gilbert (II)
0854	3	Tom Hunsinger	Neil Hunter	Tom Hunsinger - Neil Hunter
0855	3	Sean Baker	Shih-Ching Tsou	Sean Baker - Shih-Ching Tsou
0867	3	Andy Bichlbaum	Mike Bonanno	Andy Bichlbaum - Mike Bonanno
0888	3	Daniel Anker	Pete Lentine	Daniel Anker - Pete Lentine
0906	3	Chris Wedge	Carlos Saldanha	Chris Wedge - Carlos Saldanha
0908	3	Abdellatif Kechiche	Abdel Kechiche	Abdellatif Kechiche - Abdel Kechiche
0910	3	Peter Duncan	Peter Duncan (II)	Peter Duncan - Peter Duncan (II)
0915	3	Molly Bingham	Steve Connors	Molly Bingham - Steve Connors
0916	3	Jim Abrahams	David Zucker	Jim Abrahams - David Zucker
0919	3	Alan Crosland Jr	Alan Crosland	Alan Crosland Jr - Alan Crosland
0934	3	Dennis Rodman	Jean-Claude Van Damme	Dennis Rodman - Jean-Claude Van Damme
0944	3	Randa Haines	Richard W. Haines	Randa Haines - Richard W. Haines
0948	3	Chan Wook Park	Park Chan-wook	Chan Wook Park - Park Chan-wook
0955	3	Jennifer Jason Leigh	Alan Cumming	Jennifer Jason Leigh - Alan Cumming
0962	3	Brian Trenchard Smith	Brian Trenchard-Smith	Brian Trenchard Smith - Brian Trenchard-Smith
0981	3	Mark Neveldine	Brian Taylor	Mark Neveldine - Brian Taylor
0988	3	Tom Laughlin	Clark Howat	Tom Laughlin - Clark Howat
0993	3	Woody Allen	Francis Ford Coppola	Woody Allen - Francis Ford Coppola
0999	3	Heidi Ewing	Rachel Grady	Heidi Ewing - Rachel Grady
1004	3	Bill Clinton	Harry Thomason	Bill Clinton - Harry Thomason
1028	3	David Schisgall	Nina Alvarez	David Schisgall - Nina Alvarez
1035	3	Andrew Gurland	Huck Botko	Andrew Gurland - Huck Botko
1043	3	Gary Trousdale	Kirk Wise	Gary Trousdale - Kirk Wise
1047	3	Sut Jhally	Bathsheba Ratzkoff	Sut Jhally - Bathsheba Ratzkoff
1050	3	Anthony Arkin	Guinevere Turner	Anthony Arkin - Guinevere Turner
1066	3	Jean-Pierre Dardenne	Luc Dardenne	Jean-Pierre Dardenne - Luc Dardenne
1069	3	Andy Wachowski	Larry Wachowski	Andy Wachowski - Larry Wachowski
1080	3	Alex Pastor	David Pastor	Alex Pastor - David Pastor
1096	3	Joe Lawlor	Christine Molloy	Joe Lawlor - Christine Molloy
1103	3	Jesse Moss	Tony Gerber	Jesse Moss - Tony Gerber
1129	3	Fr�d�ric Mitterrand	Frederic Mitterand	Fr�d�ric Mitterrand - Frederic Mitterand
1137	3	Abel Ferrara	Phil Neilson	Abel Ferrara - Phil Neilson
1153	3	David Ridgen	Nicolas Rossier	David Ridgen - Nicolas Rossier
1165	3	Bruno Romy	Dominique Abel	Bruno Romy - Dominique Abel
1171	3	Matthew O'Callaghan	Jun Falkenstein	Matthew O'Callaghan - Jun Falkenstein
1181	3	Rob Moss	Robb Moss	Rob Moss - Robb Moss
1206	3	Steven Cantor	Matthew Galkin	Steven Cantor - Matthew Galkin
1234	3	Phil Vischer	Mike Nawrocki	Phil Vischer - Mike Nawrocki
1241	3	Scott Alexander	Larry Karaszewski	Scott Alexander - Larry Karaszewski
1243	3	Martin Davidson	Stephen Verona	Martin Davidson - Stephen Verona
1248	3	Scott McGehee	David Siegel	Scott McGehee - David Siegel
1251	3	Conrad Vernon	Rob Letterman	Conrad Vernon - Rob Letterman
1261	3	Jessica Hope Woodworth	Peter Brosens	Jessica Hope Woodworth - Peter Brosens
1267	3	Eric Darnell	Tom McGrath	Eric Darnell - Tom McGrath
1277	3	Jeff Zimbalist	Matt Mochary	Jeff Zimbalist - Matt Mochary
1291	3	Boris Damast	Peter Chelsom	Boris Damast - Peter Chelsom
1296	3	Harriet Dodge	Harry Dodge	Harriet Dodge - Harry Dodge
1319	3	Macario De Souza	Sunny Abberton	Macario De Souza - Sunny Abberton
1367	3	Michael Selditch	Robert Tate	Michael Selditch - Robert Tate
1369	3	Jean-Jacques Annud	Jean-Jacques Annaud	Jean-Jacques Annud - Jean-Jacques Annaud
1370	3	Ricky Gervais	Stephen Merchant	Ricky Gervais - Stephen Merchant
1375	3	Annabel Jankel	Rocky Morton	Annabel Jankel - Rocky Morton
1384	3	Danny Jacobs	Darren Grodsky	Danny Jacobs - Darren Grodsky
1398	3	Glenn Ficarra	John Requa	Glenn Ficarra - John Requa
1404	3	Pete Docter	Bob Peterson	Pete Docter - Bob Peterson
1432	3	Fred Schepisi	Robert Young	Fred Schepisi - Robert Young
1439	3	Joel Coen	Ethan Coen	Joel Coen - Ethan Coen
1440	3	Chris Hegedus	D.A. Pennebaker	Chris Hegedus - D.A. Pennebaker
1444	3	Richard Brooks	Richard Brooks (VI)	Richard Brooks - Richard Brooks (VI)
1448	3	Bobby Farrelly	Peter Farrelly	Bobby Farrelly - Peter Farrelly
1479	3	Joseph Barbera	William Hanna	Joseph Barbera - William Hanna
1488	3	Steve Hickner	Simon J. Smith	Steve Hickner - Simon J. Smith
1498	3	Fumihiko Takayama	Takuji Endo	Fumihiko Takayama - Takuji Endo
1544	3	John Hough	Vincent McEveety	John Hough - Vincent McEveety
1547	3	Ringo Lam	Johnny To	Ringo Lam - Johnny To
1551	3	Tom Mankiewicz	Terry Leonard	Tom Mankiewicz - Terry Leonard
1553	3	Paul Etheredge	Paul Etheredge-Ouzts	Paul Etheredge - Paul Etheredge-Ouzts
1565	3	Albert Hughes	Allen Hughes	Albert Hughes - Allen Hughes
1569	3	Adina Porter	Chad Donovan	Adina Porter - Chad Donovan
1572	3	Patrick Gilmore (III)	Tim Johnson	Patrick Gilmore (III) - Tim Johnson
1579	3	Rin Tar�	Hayashi Shigeyuki	Rin Tar� - Hayashi Shigeyuki
1596	3	Kazuki Akane	Yoshiyuki Takei	Kazuki Akane - Yoshiyuki Takei
1605	3	Douglas Hickox	Jim Clark	Douglas Hickox - Jim Clark
1612	3	Edward Bernds	Edward L. Bernds	Edward Bernds - Edward L. Bernds
1621	3	Ki-duk Kim	Kim Ki-Duk#54286	Ki-duk Kim - Kim Ki-Duk#54286
1622	3	George Butler	Robert Fiore	George Butler - Robert Fiore
1623	3	Jeanne Jordan	Steven Ascher	Jeanne Jordan - Steven Ascher
1624	3	Jaume Balaguer�	Paco Plaza	Jaume Balaguer� - Paco Plaza
1642	3	Agn�s Jaoui	Agne Jaoui	Agn�s Jaoui - Agne Jaoui
1655	3	Carles Bosch	Carlos Bosch	Carles Bosch - Carlos Bosch
1677	3	Noel Clarke	Mark Davis	Noel Clarke - Mark Davis
1706	3	Larry Wachowski	Andy Wachowski	Larry Wachowski - Andy Wachowski
1710	3	Stewart Wade	Stuart Wade	Stewart Wade - Stuart Wade
1721	3	Eric Idle	Gary Weis	Eric Idle - Gary Weis
1730	3	Gilles Porte	Yolande Moreau	Gilles Porte - Yolande Moreau
1750	3	Mark Monroe	Paul Crowder	Mark Monroe - Paul Crowder
1756	3	Meike Mitsuru	Mitsuru Meike	Meike Mitsuru - Mitsuru Meike
1761	3	Sam Green	Bill Siegel	Sam Green - Bill Siegel
1764	3	Judith Ehrlich	Rick Goldsmith	Judith Ehrlich - Rick Goldsmith
1777	3	Elizabeth Pe�a	Eric Stoltz	Elizabeth Pe�a - Eric Stoltz
1781	3	Ila Duran Cohen	Ilan Duran Cohen	Ila Duran Cohen - Ilan Duran Cohen
1785	3	Nanette Burstein	Brett Morgen	Nanette Burstein - Brett Morgen
1793	3	Ross Kauffman	Zana Briski	Ross Kauffman - Zana Briski
