movie	yahoo	director			
2000	1912	2270	1734		
0004	4	Eric Darnell	Tim Johnson	Jennifer Yu	Eric Darnell - Tim Johnson - Jennifer Yu
0061	4	François Girard (II)	Fran=E7ois Girard	François Girard	François Girard (II) - Fran=E7ois Girard - François Girard
0075	4	Don Bluth	Gary Goldman (IV)	Gary Goldman	Don Bluth - Gary Goldman (IV) - Gary Goldman
0089	4	Betty Thomas	Ernie Orsatti (II)	Jon Farhat	Betty Thomas - Ernie Orsatti (II) - Jon Farhat
0103	4	Andrew Bergman	Andy Muller	Ted Kurdyla	Andrew Bergman - Andy Muller - Ted Kurdyla
0122	4	Steven Thomas Stafford	Ivan Reitman	Conrad Palmisano	Steven Thomas Stafford - Ivan Reitman - Conrad Palmisano
0141	4	Don Bluth	Gary Goldman (IV)	Gary Goldman	Don Bluth - Gary Goldman (IV) - Gary Goldman
0246	4	Peter Markle	Mike Marvin	Jeffrey Sudzin	Peter Markle - Mike Marvin - Jeffrey Sudzin
0272	4	Jim Henson	Peter MacDonald	Jimmy Devis	Jim Henson - Peter MacDonald - Jimmy Devis
0273	4	Hamilton Luske	Clyde Geronimi	Wilfred Jackson	Hamilton Luske - Clyde Geronimi - Wilfred Jackson
0339	4	Arthur Hiller	Henry Hathaway	Joe Kana	Arthur Hiller - Henry Hathaway - Joe Kana
0359	4	Lewis Gilbert	John Glen	Ernest Day	Lewis Gilbert - John Glen - Ernest Day
0369	4	Tobe Hooper	John A. Moio	Newt Arnold	Tobe Hooper - John A. Moio - Newt Arnold
0381	4	Don Siegel	Joe Cavalier	Rene Cardona (II)	Don Siegel - Joe Cavalier - Rene Cardona (II)
0407	4	Kevin Costner	John Huneck	Philip C. Pfeiffer	Kevin Costner - John Huneck - Philip C. Pfeiffer
0416	4	Roger Spottiswoode	Bud S. Smith	Gary Combs	Roger Spottiswoode - Bud S. Smith - Gary Combs
0458	4	Luis Mandoki	James W. Gavin	Mickey Gilbert (II)	Luis Mandoki - James W. Gavin - Mickey Gilbert (II)
0460	4	James Cameron	Glenn Wilder	E. J. Foerster	James Cameron - Glenn Wilder - E. J. Foerster
0473	4	David B. Nowell	Wolfgang Petersen	Buddy Van Horn	David B. Nowell - Wolfgang Petersen - Buddy Van Horn
0475	4	Joel Schumacher	David Hogan	Conrad Palmisano	Joel Schumacher - David Hogan - Conrad Palmisano
0491	4	Stuart Baird	Steve Perry	Craig Hosking	Stuart Baird - Steve Perry - Craig Hosking
0516	4	Stephen Sommers	Greg Michael	Dean Cundey	Stephen Sommers - Greg Michael - Dean Cundey
0517	4	Brenda Chapman	Stephen Hickner	Simon Wells	Brenda Chapman - Stephen Hickner - Simon Wells
0538	4	Michael Mann	Mickey Gilbert (II)	Gusmano Cesaretti	Michael Mann - Mickey Gilbert (II) - Gusmano Cesaretti
0543	4	Gary Trousdale	Kirk Wise	Paul Brizzi	Gary Trousdale - Kirk Wise - Paul Brizzi
0552	4	Mike Mitchell	Peter Collister	Bruce Hendricks	Mike Mitchell - Peter Collister - Bruce Hendricks
0572	4	Stanton Barrett	Marek Kanievska	Marek Kanieuska	Stanton Barrett - Marek Kanievska - Marek Kanieuska
0587	4	Jun Falkenstein	Takamitsu Kawamura	Nigel Pay	Jun Falkenstein - Takamitsu Kawamura - Nigel Pay
0615	4	Rob Bowman	Billy Burton	E. J. Foerster	Rob Bowman - Billy Burton - E. J. Foerster
0617	4	Michael Apted	Vic Armstrong	Arthur Wooster	Michael Apted - Vic Armstrong - Arthur Wooster
0625	4	Francois Ozon	Adam Symansky	Gréta Olafsdottir	Francois Ozon - Adam Symansky - Gréta Olafsdottir
0626	4	James D. Stern	Donald Kempf	Don Kempf	James D. Stern - Donald Kempf - Don Kempf
