nbaplayer	slam	team	
423	423	423	30
0000	2	Boston Celtics	#20 - Boston Celtics
0001	2	Boston Celtics	#20 - Boston Celtics
0002	2	Boston Celtics	#20 - Boston Celtics
0003	2	Boston Celtics	#20 - Boston Celtics
0004	2	Boston Celtics	#20 - Boston Celtics
0005	2	Boston Celtics	#20 - Boston Celtics
0006	2	Boston Celtics	#20 - Boston Celtics
0007	2	Boston Celtics	#20 - Boston Celtics
0008	2	Boston Celtics	#20 - Boston Celtics
0009	2	Boston Celtics	#20 - Boston Celtics
0010	2	Boston Celtics	#20 - Boston Celtics
0011	2	Boston Celtics	#20 - Boston Celtics
0012	2	Boston Celtics	#20 - Boston Celtics
0013	2	Boston Celtics	#20 - Boston Celtics
0014	2	Boston Celtics	#20 - Boston Celtics
0015	2	New Jersey Nets	#2 - New Jersey Nets
0016	2	New Jersey Nets	#2 - New Jersey Nets
0017	2	New Jersey Nets	#2 - New Jersey Nets
0018	2	New Jersey Nets	#2 - New Jersey Nets
0019	2	New Jersey Nets	#2 - New Jersey Nets
0020	2	New Jersey Nets	#2 - New Jersey Nets
0021	2	New Jersey Nets	#2 - New Jersey Nets
0022	2	New Jersey Nets	#2 - New Jersey Nets
0023	2	New Jersey Nets	#2 - New Jersey Nets
0024	2	New Jersey Nets	#2 - New Jersey Nets
0025	2	New Jersey Nets	#2 - New Jersey Nets
0026	2	New Jersey Nets	#2 - New Jersey Nets
0027	2	New Jersey Nets	#2 - New Jersey Nets
0028	2	New Jersey Nets	#2 - New Jersey Nets
0029	2	New Jersey Nets	#2 - New Jersey Nets
0030	2	Atlanta Hawks	#10 - Atlanta Hawks
0031	2	Atlanta Hawks	#10 - Atlanta Hawks
0032	2	Atlanta Hawks	#10 - Atlanta Hawks
0033	2	Atlanta Hawks	#10 - Atlanta Hawks
0034	2	Atlanta Hawks	#10 - Atlanta Hawks
0035	2	Atlanta Hawks	#10 - Atlanta Hawks
0036	2	Atlanta Hawks	#10 - Atlanta Hawks
0037	2	Atlanta Hawks	#10 - Atlanta Hawks
0038	2	Atlanta Hawks	#10 - Atlanta Hawks
0039	2	Atlanta Hawks	#10 - Atlanta Hawks
0040	2	Atlanta Hawks	#10 - Atlanta Hawks
0041	2	Atlanta Hawks	#10 - Atlanta Hawks
0042	2	Atlanta Hawks	#10 - Atlanta Hawks
0043	2	Atlanta Hawks	#10 - Atlanta Hawks
0044	2	Atlanta Hawks	#10 - Atlanta Hawks
0045	2	Charlotte Bobcats	#21 - Charlotte Bobcats
0046	2	Charlotte Bobcats	#21 - Charlotte Bobcats
0047	2	Charlotte Bobcats	#21 - Charlotte Bobcats
0048	2	Charlotte Bobcats	#21 - Charlotte Bobcats
0049	2	Charlotte Bobcats	#21 - Charlotte Bobcats
0050	2	Charlotte Bobcats	#21 - Charlotte Bobcats
0051	2	Charlotte Bobcats	#21 - Charlotte Bobcats
0052	2	Charlotte Bobcats	#21 - Charlotte Bobcats
0053	2	Charlotte Bobcats	#21 - Charlotte Bobcats
0054	2	Charlotte Bobcats	#21 - Charlotte Bobcats
0055	2	Charlotte Bobcats	#21 - Charlotte Bobcats
0056	2	Charlotte Bobcats	#21 - Charlotte Bobcats
0057	2	Charlotte Bobcats	#21 - Charlotte Bobcats
0058	2	Charlotte Bobcats	#21 - Charlotte Bobcats
0059	2	Charlotte Bobcats	#21 - Charlotte Bobcats
0060	2	Miami Heat	#50 - Miami Heat
0061	2	Miami Heat	#50 - Miami Heat
0062	2	Miami Heat	#50 - Miami Heat
0063	2	Miami Heat	#50 - Miami Heat
0064	2	Miami Heat	#50 - Miami Heat
0065	2	Miami Heat	#50 - Miami Heat
0066	2	Miami Heat	#50 - Miami Heat
0067	2	Miami Heat	#50 - Miami Heat
0068	2	Miami Heat	#50 - Miami Heat
0069	2	Miami Heat	#50 - Miami Heat
0070	2	Miami Heat	#50 - Miami Heat
0071	2	Miami Heat	#50 - Miami Heat
0072	2	Miami Heat	#50 - Miami Heat
0073	2	Miami Heat	#50 - Miami Heat
0074	2	Orlando Magic	#35 - Orlando Magic
0075	2	Orlando Magic	#35 - Orlando Magic
0076	2	Orlando Magic	#35 - Orlando Magic
0077	2	Orlando Magic	#35 - Orlando Magic
0078	2	Orlando Magic	#35 - Orlando Magic
0079	2	Orlando Magic	#35 - Orlando Magic
0080	2	Orlando Magic	#35 - Orlando Magic
0081	2	Orlando Magic	#35 - Orlando Magic
0082	2	Orlando Magic	#35 - Orlando Magic
0083	2	Orlando Magic	#35 - Orlando Magic
0084	2	Orlando Magic	#35 - Orlando Magic
0085	2	Orlando Magic	#35 - Orlando Magic
0086	2	Orlando Magic	#35 - Orlando Magic
0087	2	Washington Wizards	#9 - Washington Wizards
0088	2	Washington Wizards	#9 - Washington Wizards
0089	2	Washington Wizards	#9 - Washington Wizards
0090	2	Washington Wizards	#9 - Washington Wizards
0091	2	Washington Wizards	#9 - Washington Wizards
0092	2	Washington Wizards	#9 - Washington Wizards
0093	2	Washington Wizards	#9 - Washington Wizards
0094	2	Washington Wizards	#9 - Washington Wizards
0095	2	Washington Wizards	#9 - Washington Wizards
0096	2	Washington Wizards	#9 - Washington Wizards
0097	2	Washington Wizards	#9 - Washington Wizards
0098	2	Washington Wizards	#9 - Washington Wizards
0099	2	Washington Wizards	#9 - Washington Wizards
0100	2	Washington Wizards	#9 - Washington Wizards
0101	2	Washington Wizards	#9 - Washington Wizards
0102	2	Denver Nuggets	#6 - Denver Nuggets
0103	2	Denver Nuggets	#6 - Denver Nuggets
0104	2	Denver Nuggets	#6 - Denver Nuggets
0105	2	Denver Nuggets	#6 - Denver Nuggets
0106	2	Denver Nuggets	#6 - Denver Nuggets
0107	2	Denver Nuggets	#6 - Denver Nuggets
0108	2	Denver Nuggets	#6 - Denver Nuggets
