restaurant	gayot	cuisine			
2000	2000	3331	155		
0003	4	Bakery	Café	Bagels	Bakery - Café - Bagels
0010	4	Caribbean	Latin American	Seafood	Caribbean - Latin American - Seafood
0014	4	Diner	Breakfast	Pancakes	Diner - Breakfast - Pancakes
0018	4	Mexican	Taqueria	California	Mexican - Taqueria - California
0032	4	Cape Verdean	Portuguese	African	Cape Verdean - Portuguese - African
0035	4	Burgers	Healthy	Organic	Burgers - Healthy - Organic
0039	4	French	California	Breakfast	French - California - Breakfast
0040	4	Vegetarian	California	Healthy	Vegetarian - California - Healthy
0041	4	American	Mediterranean	Contemporary	American - Mediterranean - Contemporary
0042	4	Mexican	Latin American	Taqueria	Mexican - Latin American - Taqueria
0043	4	Spanish	Tapas	Small Plates	Spanish - Tapas - Small Plates
0045	4	Caribbean	Latin American	Seafood	Caribbean - Latin American - Seafood
0046	4	Tapas	Eclectic	Small Plates	Tapas - Eclectic - Small Plates
0050	4	Contemporary	American	Breakfast	Contemporary - American - Breakfast
0055	4	American	Ice Cream	Breakfast	American - Ice Cream - Breakfast
0060	4	Spanish	Tapas	Small Plates	Spanish - Tapas - Small Plates
0072	4	California	Contemporary	Breakfast	California - Contemporary - Breakfast
0084	4	Steakhouse	Seafood	Contemporary	Steakhouse - Seafood - Contemporary
0092	4	American	Gourmet Bar Food	Bar	American - Gourmet Bar Food - Bar
0099	4	Chinese	Vietnamese	Sushi	Chinese - Vietnamese - Sushi
0101	4	Brewpub	Steakhouse	Seafood	Brewpub - Steakhouse - Seafood
0127	4	French	California	Bistro	French - California - Bistro
0141	4	Deli	Sandwiches	American	Deli - Sandwiches - American
0170	4	Bakery	Breakfast	Coffeehouse	Bakery - Breakfast - Coffeehouse
0187	4	Greek	Italian	Pizza	Greek - Italian - Pizza
0193	4	Tea Room	Sandwiches	Bakery	Tea Room - Sandwiches - Bakery
0194	4	Contemporary	American	Small Plates	Contemporary - American - Small Plates
0195	4	Desserts	New American	Small Plates	Desserts - New American - Small Plates
0209	4	Sushi	Pan-Asian	Gourmet Bar Food	Sushi - Pan-Asian - Gourmet Bar Food
0216	4	International	Seafood	Steakhouse	International - Seafood - Steakhouse
0219	4	Coffee Shop	Breakfast	Pancakes	Coffee Shop - Breakfast - Pancakes
0223	4	Pizza	Italian	American	Pizza - Italian - American
0228	4	French	Bistro	Deli	French - Bistro - Deli
0237	4	Bakery	American	Breakfast	Bakery - American - Breakfast
0249	4	Seafood	Italian	Contemporary	Seafood - Italian - Contemporary
0253	4	Seafood	New American	Pub	Seafood - New American - Pub
0255	4	New American	International	Sushi	New American - International - Sushi
0256	4	French	Contemporary	American	French - Contemporary - American
0273	4	American	Bakery	Coffeehouse	American - Bakery - Coffeehouse
0276	4	Mexican	American	Breakfast	Mexican - American - Breakfast
0278	4	Spanish	Tapas	Small Plates	Spanish - Tapas - Small Plates
0280	4	Café	Sandwiches	Breakfast	Café - Sandwiches - Breakfast
0282	4	Mexican	American	Burgers	Mexican - American - Burgers
0292	4	Contemporary	Tapas	Small Plates	Contemporary - Tapas - Small Plates
0298	4	Bakery	Café	Irish	Bakery - Café - Irish
0299	4	African	Senegalese	Eclectic	African - Senegalese - Eclectic
0315	4	French	English	Gastropub	French - English - Gastropub
0333	4	Continental	French	Italian	Continental - French - Italian
0335	4	Afghan	Middle Eastern	American	Afghan - Middle Eastern - American
0339	4	Italian	Wine Bar	Pizza	Italian - Wine Bar - Pizza
0346	4	German	Czech	European	German - Czech - European
0347	4	Indian	Thai	Asian	Indian - Thai - Asian
0354	4	Japanese	Sushi	Small Plates	Japanese - Sushi - Small Plates
0355	4	Italian	Pizza	Pub	Italian - Pizza - Pub
0376	4	American	Eclectic	Steakhouse	American - Eclectic - Steakhouse
0387	4	Contemporary	Southern	Seafood	Contemporary - Southern - Seafood
0394	4	American	Brasserie	Bar	American - Brasserie - Bar
0398	4	Sushi	Asian	Japanese	Sushi - Asian - Japanese
0405	4	Italian	Bistro	Bar	Italian - Bistro - Bar
0418	4	Wine Bar	Tapas	Small Plates	Wine Bar - Tapas - Small Plates
0420	4	Korean	Barbecue	California	Korean - Barbecue - California
0421	4	Ethiopian	Southern	Soul Food	Ethiopian - Southern - Soul Food
0429	4	Italian	Mediterranean	California	Italian - Mediterranean - California
0436	4	American	French	Italian	American - French - Italian
0437	4	American	Eclectic	Mediterranean	American - Eclectic - Mediterranean
0467	4	Contemporary	American	Bistro	Contemporary - American - Bistro
0473	4	Coffee Shop	Breakfast	Pancakes	Coffee Shop - Breakfast - Pancakes
0488	4	American	Seafood	Steakhouse	American - Seafood - Steakhouse
0489	4	Italian	American	Seafood	Italian - American - Seafood
0491	4	Italian	Mediterranean	Seafood	Italian - Mediterranean - Seafood
0507	4	Seafood	American Regional	Fusion	Seafood - American Regional - Fusion
0508	4	American	Southern	Contemporary	American - Southern - Contemporary
0514	4	American	Eclectic	Cuban	American - Eclectic - Cuban
0518	4	Contemporary	American	Southern	Contemporary - American - Southern
0519	4	Coffeehouse	Latin American	Contemporary	Coffeehouse - Latin American - Contemporary
0528	4	Thai	Pan-Asian	Fusion	Thai - Pan-Asian - Fusion
0530	4	Global	Eclectic	Small Plates	Global - Eclectic - Small Plates
0534	4	American	Bakery	Breakfast	American - Bakery - Breakfast
0563	4	American	Seafood	Italian	American - Seafood - Italian
0565	4	Coffee Shop	Breakfast	Pancakes	Coffee Shop - Breakfast - Pancakes
0568	4	Dim Sum	Cantonese	Chinese	Dim Sum - Cantonese - Chinese
0570	4	Polynesian	Asian	Chinese	Polynesian - Asian - Chinese
0588	4	Contemporary	Tapas	Small Plates	Contemporary - Tapas - Small Plates
0623	4	American	Greek	Italian	American - Greek - Italian
0624	4	German	Italian	Asian	German - Italian - Asian
0630	4	Tapas	Mediterranean	Wine Bar	Tapas - Mediterranean - Wine Bar
0632	4	Hungarian	German	French	Hungarian - German - French
0638	4	American	Continental	Italian	American - Continental - Italian
0641	4	French	Brasserie	Seafood	French - Brasserie - Seafood
0643	4	Bakery	Café	Bagels	Bakery - Café - Bagels
0651	4	Deli	Jewish	American	Deli - Jewish - American
0663	4	Italian	French	American	Italian - French - American
0671	4	Mexican	Southwestern	Tapas	Mexican - Southwestern - Tapas
0677	4	Mediterranean	Small Plates	Tapas	Mediterranean - Small Plates - Tapas
0678	4	Tibetan	Indian	Nepalese	Tibetan - Indian - Nepalese
0682	4	Ice Cream	Desserts	Café	Ice Cream - Desserts - Café
0693	4	Pub	German	Brewpub	Pub - German - Brewpub
0696	4	California	Global	Wine Bar	California - Global - Wine Bar
0701	4	Cajun	Creole	Seafood	Cajun - Creole - Seafood
0702	4	Southern	Creole	Caribbean	Southern - Creole - Caribbean
0705	4	Greek	Italian	Pizza	Greek - Italian - Pizza
0709	4	Cuban	Spanish	Latin American	Cuban - Spanish - Latin American
0710	4	Contemporary	Small Plates	Tapas	Contemporary - Small Plates - Tapas
0714	4	Hawaii Regional	Fusion	Sushi	Hawaii Regional - Fusion - Sushi
0716	4	Coffee Shop	Ice Cream	American	Coffee Shop - Ice Cream - American
0719	4	Tea Room	Chinese	Asian	Tea Room - Chinese - Asian
0727	4	Continental	French	German	Continental - French - German
0730	4	Contemporary	Modern American	California	Contemporary - Modern American - California
0732	4	Vegetarian	Healthy	Raw Food	Vegetarian - Healthy - Raw Food
0735	4	Sushi	Japanese	Small Plates	Sushi - Japanese - Small Plates
0736	4	Healthy	Vegetarian	Breakfast	Healthy - Vegetarian - Breakfast
0738	4	Café	Sandwiches	Breakfast	Café - Sandwiches - Breakfast
0740	4	Italian	Pizza	Sandwiches	Italian - Pizza - Sandwiches
0744	4	Wine Bar	Sandwiches	Sausages	Wine Bar - Sandwiches - Sausages
0752	4	Italian	Pizza	Small Plates	Italian - Pizza - Small Plates
0753	4	Sushi	Japanese	Small Plates	Sushi - Japanese - Small Plates
0754	4	Mexican	Southwestern	Latin American	Mexican - Southwestern - Latin American
0759	4	Global	Contemporary	California	Global - Contemporary - California
0766	4	American	Eclectic	Bar	American - Eclectic - Bar
0769	4	Global	Small Plates	Bar	Global - Small Plates - Bar
0771	4	French	Contemporary	Bistro	French - Contemporary - Bistro
0781	4	Noodles	Asian	California	Noodles - Asian - California
0790	4	Mediterranean	American	California	Mediterranean - American - California
0791	4	Mexican	Bakery	Taqueria	Mexican - Bakery - Taqueria
0793	4	Bistro	Fusion	California	Bistro - Fusion - California
0798	4	California	French	Bistro	California - French - Bistro
0800	4	Fusion	New American	Asian	Fusion - New American - Asian
0802	4	Seafood	New American	California	Seafood - New American - California
0803	4	Eclectic	Tapas	Small Plates	Eclectic - Tapas - Small Plates
0820	4	Italian	American	Breakfast	Italian - American - Breakfast
0821	4	Asian	Vegetarian	Organic	Asian - Vegetarian - Organic
0823	4	Asian	Fusion	Small Plates	Asian - Fusion - Small Plates
0825	4	California	Steakhouse	Tapas	California - Steakhouse - Tapas
0830	4	Bistro	American	California	Bistro - American - California
0903	4	French	Mediterranean	Small Plates	French - Mediterranean - Small Plates
0904	4	Deli	Bakery	Breakfast	Deli - Bakery - Breakfast
0914	4	Southern	Southwestern	Caribbean	Southern - Southwestern - Caribbean
0928	4	American	Eclectic	Sandwiches	American - Eclectic - Sandwiches
0938	4	Latin American	Contemporary	Small Plates	Latin American - Contemporary - Small Plates
0952	4	Spanish	Tapas	Small Plates	Spanish - Tapas - Small Plates
0964	4	Italian	Small Plates	Tapas	Italian - Small Plates - Tapas
0968	4	French	Latin American	Contemporary	French - Latin American - Contemporary
0982	4	American	Gastropub	Small Plates	American - Gastropub - Small Plates
1001	4	Asian	Fusion	Sushi	Asian - Fusion - Sushi
1024	4	New Mexican	Southwestern	Breakfast	New Mexican - Southwestern - Breakfast
1030	4	Contemporary	European	Mexican	Contemporary - European - Mexican
1037	4	Portuguese	Seafood	Small Plates	Portuguese - Seafood - Small Plates
1046	4	Vegetarian	Global	Greek	Vegetarian - Global - Greek
1061	4	Northwest	French	Italian	Northwest - French - Italian
1063	4	Irish	American	Pub	Irish - American - Pub
1067	4	Caribbean	Contemporary	Small Plates	Caribbean - Contemporary - Small Plates
1068	4	Bistro	French	American	Bistro - French - American
