restaurant	restaurantica	cuisine			
2000	2000	2264	59		
1651	4	American (Traditional)	Bar &amp; Grill	Restaurant and Bar	American (Traditional) - Bar &amp; Grill - Restaurant and Bar
1978	4	American (New)	European	French	American (New) - European - French
0022	3	Family	Mexican	Family - Mexican	
0023	3	Asian	Chinese	Asian - Chinese	
0029	3	Japanese	Sushi	Japanese - Sushi	
0032	3	Asian	Chinese	Asian - Chinese	
0040	3	Asian	Chinese	Asian - Chinese	
0050	3	Japanese	Sushi	Japanese - Sushi	
0067	3	Asian	Chinese	Asian - Chinese	
0077	3	Asian	Chinese	Asian - Chinese	
0107	3	American (Traditional)	Southern	American (Traditional) - Southern	
0110	3	Seafood	Steakhouse	Seafood - Steakhouse	
0119	3	Asian	Chinese	Asian - Chinese	
0130	3	American (Traditional)	Diner	American (Traditional) - Diner	
0136	3	Asian	Chinese	Asian - Chinese	
0144	3	American (Traditional)	Diner	American (Traditional) - Diner	
0153	3	American (Traditional)	Diner	American (Traditional) - Diner	
0160	3	Asian	Chinese	Asian - Chinese	
0166	3	Asian	Chinese	Asian - Chinese	
0169	3	Asian	Chinese	Asian - Chinese	
0180	3	Asian	Chinese	Asian - Chinese	
0181	3	Asian	Chinese	Asian - Chinese	
0183	3	Asian	Chinese	Asian - Chinese	
0196	3	American (Traditional)	Diner	American (Traditional) - Diner	
0197	3	Asian	Chinese	Asian - Chinese	
0200	3	Asian	Chinese	Asian - Chinese	
0201	3	Asian	Chinese	Asian - Chinese	
0223	3	Cajun/Creole	Southern	Cajun/Creole - Southern	
0232	3	Asian	Chinese	Asian - Chinese	
0236	3	Cajun/Creole	Southern	Cajun/Creole - Southern	
0239	3	Oyster Bar	Seafood	Oyster Bar - Seafood	
0249	3	Cajun/Creole	Southern	Cajun/Creole - Southern	
0260	3	Cajun/Creole	Southern	Cajun/Creole - Southern	
0272	3	Oyster Bar	Seafood	Oyster Bar - Seafood	
0279	3	Asian	Chinese	Asian - Chinese	
0281	3	Asian	Chinese	Asian - Chinese	
0291	3	American (Traditional)	Diner	American (Traditional) - Diner	
0296	3	Asian	Chinese	Asian - Chinese	
0312	3	Seafood	Steakhouse	Seafood - Steakhouse	
0323	3	Asian	Chinese	Asian - Chinese	
0326	3	Cajun/Creole	Southern	Cajun/Creole - Southern	
0327	3	American (Traditional)	Diner	American (Traditional) - Diner	
0329	3	Asian	Chinese	Asian - Chinese	
0335	3	Asian	Chinese	Asian - Chinese	
0338	3	American (Traditional)	Diner	American (Traditional) - Diner	
0344	3	Asian	Chinese	Asian - Chinese	
0349	3	Asian	Chinese	Asian - Chinese	
0351	3	American (Traditional)	Diner	American (Traditional) - Diner	
0352	3	American (Traditional)	Diner	American (Traditional) - Diner	
0354	3	Asian	Chinese	Asian - Chinese	
0357	3	Cajun/Creole	Southern	Cajun/Creole - Southern	
0402	3	Asian	Chinese	Asian - Chinese	
0416	3	Asian	Chinese	Asian - Chinese	
0417	3	Asian	Chinese	Asian - Chinese	
0425	3	Asian	Chinese	Asian - Chinese	
0427	3	Asian	Chinese	Asian - Chinese	
0438	3	American (Traditional)	Diner	American (Traditional) - Diner	
0440	3	Asian	Chinese	Asian - Chinese	
0446	3	American (Traditional)	Diner	American (Traditional) - Diner	
0453	3	American (Traditional)	Diner	American (Traditional) - Diner	
0474	3	Asian	Chinese	Asian - Chinese	
0475	3	Asian	Chinese	Asian - Chinese	
0481	3	Oyster Bar	Seafood	Oyster Bar - Seafood	
0487	3	Asian	Chinese	Asian - Chinese	
0490	3	Asian	Chinese	Asian - Chinese	
0497	3	Asian	Chinese	Asian - Chinese	
0514	3	Asian	Chinese	Asian - Chinese	
0530	3	American (Traditional)	Diner	American (Traditional) - Diner	
0533	3	American (Traditional)	Diner	American (Traditional) - Diner	
0543	3	Asian	Chinese	Asian - Chinese	
0550	3	Asian	Chinese	Asian - Chinese	
0553	3	Asian	Chinese	Asian - Chinese	
0556	3	American (Traditional)	Diner	American (Traditional) - Diner	
0563	3	Asian	Chinese	Asian - Chinese	
0568	3	Asian	Chinese	Asian - Chinese	
0569	3	Asian	Chinese	Asian - Chinese	
0573	3	Asian	Chinese	Asian - Chinese	
0574	3	American (Traditional)	Diner	American (Traditional) - Diner	
0580	3	Asian	Chinese	Asian - Chinese	
0581	3	Asian	Chinese	Asian - Chinese	
0584	3	Asian	Chinese	Asian - Chinese	
0587	3	Asian	Chinese	Asian - Chinese	
0591	3	American (Traditional)	Diner	American (Traditional) - Diner	
0601	3	American (Traditional)	Diner	American (Traditional) - Diner	
0602	3	American (Traditional)	Diner	American (Traditional) - Diner	
0605	3	American (Traditional)	Diner	American (Traditional) - Diner	
0606	3	Asian	Chinese	Asian - Chinese	
0607	3	Asian	Chinese	Asian - Chinese	
0620	3	Asian	Chinese	Asian - Chinese	
0633	3	Asian	Chinese	Asian - Chinese	
0634	3	American (Traditional)	Diner	American (Traditional) - Diner	
0646	3	American (Traditional)	Diner	American (Traditional) - Diner	
0647	3	American (Traditional)	Diner	American (Traditional) - Diner	
0658	3	American (Traditional)	Diner	American (Traditional) - Diner	
0659	3	Asian	Chinese	Asian - Chinese	
0661	3	Asian	Chinese	Asian - Chinese	
0667	3	American (Traditional)	Diner	American (Traditional) - Diner	
0698	3	Cajun/Creole	Southern	Cajun/Creole - Southern	
0710	3	Asian	Chinese	Asian - Chinese	
0714	3	Asian	Chinese	Asian - Chinese	
0718	3	American (Traditional)	Diner	American (Traditional) - Diner	
0731	3	Asian	Chinese	Asian - Chinese	
0741	3	Asian	Chinese	Asian - Chinese	
0752	3	American (Traditional)	Diner	American (Traditional) - Diner	
0757	3	Asian	Chinese	Asian - Chinese	
0768	3	Asian	Chinese	Asian - Chinese	
0773	3	Asian	Chinese	Asian - Chinese	
0780	3	Asian	Chinese	Asian - Chinese	
0781	3	American (Traditional)	Diner	American (Traditional) - Diner	
0784	3	American (Traditional)	Diner	American (Traditional) - Diner	
0791	3	Asian	Chinese	Asian - Chinese	
0797	3	American (Traditional)	Diner	American (Traditional) - Diner	
0803	3	Asian	Chinese	Asian - Chinese	
0809	3	Asian	Chinese	Asian - Chinese	
0812	3	Italian	Pizza	Italian - Pizza	
0823	3	Cajun/Creole	Southern	Cajun/Creole - Southern	
0825	3	Asian	Chinese	Asian - Chinese	
0833	3	American (Traditional)	Diner	American (Traditional) - Diner	
0834	3	American (Traditional)	Diner	American (Traditional) - Diner	
0835	3	Asian	Chinese	Asian - Chinese	
0839	3	American (Traditional)	Diner	American (Traditional) - Diner	
0842	3	Asian	Chinese	Asian - Chinese	
0845	3	Asian	Chinese	Asian - Chinese	
0862	3	Asian	Chinese	Asian - Chinese	
0870	3	Asian	Chinese	Asian - Chinese	
0873	3	Asian	Chinese	Asian - Chinese	
0886	3	Asian	Chinese	Asian - Chinese	
0910	3	American (Traditional)	Diner	American (Traditional) - Diner	
0914	3	Asian	Chinese	Asian - Chinese	
0920	3	Asian	Chinese	Asian - Chinese	
0921	3	Asian	Chinese	Asian - Chinese	
0939	3	Asian	Chinese	Asian - Chinese	
0941	3	Asian	Chinese	Asian - Chinese	
0952	3	American (Traditional)	Diner	American (Traditional) - Diner	
0953	3	Asian	Chinese	Asian - Chinese	
0960	3	Asian	Chinese	Asian - Chinese	
0975	3	Cajun/Creole	Southern	Cajun/Creole - Southern	
0983	3	American (Traditional)	Diner	American (Traditional) - Diner	
0990	3	American (Traditional)	Southwestern	American (Traditional) - Southwestern	
0997	3	American (Traditional)	Diner	American (Traditional) - Diner	
1004	3	Asian	Chinese	Asian - Chinese	
1013	3	Asian	Chinese	Asian - Chinese	
1026	3	Asian	Chinese	Asian - Chinese	
1041	3	Seafood	Steakhouse	Seafood - Steakhouse	
1045	3	Asian	Chinese	Asian - Chinese	
1048	3	European	French	European - French	
1070	3	Asian	Chinese	Asian - Chinese	
1121	3	Asian	Chinese	Asian - Chinese	
1126	3	Asian	Chinese	Asian - Chinese	
1136	3	Asian	Chinese	Asian - Chinese	
1162	3	Asian	Chinese	Asian - Chinese	
1163	3	Japanese	Sushi	Japanese - Sushi	
1166	3	Caribbean	Cuban	Caribbean - Cuban	
1171	3	Asian	Chinese	Asian - Chinese	
1173	3	Japanese	Sushi	Japanese - Sushi	
1177	3	European	French	European - French	
1179	3	Asian	Chinese	Asian - Chinese	
1180	3	American (Traditional)	Grill	American (Traditional) - Grill	
1184	3	Asian	Chinese	Asian - Chinese	
1188	3	Asian	Chinese	Asian - Chinese	
1193	3	Asian	Chinese	Asian - Chinese	
1198	3	Asian	Chinese	Asian - Chinese	
1201	3	Asian	Chinese	Asian - Chinese	
1207	3	Japanese	Sushi	Japanese - Sushi	
1209	3	Soul Food	Southern	Soul Food - Southern	
1211	3	European	French	European - French	
1213	3	Asian	Chinese	Asian - Chinese	
1220	3	Asian	Chinese	Asian - Chinese	
1227	3	Japanese	Sushi	Japanese - Sushi	
1231	3	Asian	Chinese	Asian - Chinese	
1234	3	Asian	Chinese	Asian - Chinese	
1237	3	Asian	Chinese	Asian - Chinese	
1245	3	Asian	Chinese	Asian - Chinese	
1246	3	Asian	Chinese	Asian - Chinese	
1258	3	American (Traditional)	Diner	American (Traditional) - Diner	
1267	3	Asian	Chinese	Asian - Chinese	
1271	3	Japanese	Sushi	Japanese - Sushi	
1277	3	Asian	Chinese	Asian - Chinese	
1297	3	Asian	Chinese	Asian - Chinese	
1309	3	Asian	Chinese	Asian - Chinese	
1311	3	Asian	Chinese	Asian - Chinese	
1316	3	Asian	Chinese	Asian - Chinese	
1319	3	Japanese	Sushi	Japanese - Sushi	
1332	3	Asian	Chinese	Asian - Chinese	
1351	3	Asian	Chinese	Asian - Chinese	
1353	3	Asian	Chinese	Asian - Chinese	
1354	3	Asian	Chinese	Asian - Chinese	
1370	3	European	French	European - French	
1381	3	Asian	Chinese	Asian - Chinese	
1392	3	Japanese	Sushi	Japanese - Sushi	
1414	3	Asian	Chinese	Asian - Chinese	
1426	3	Japanese	Sushi	Japanese - Sushi	
1433	3	Japanese	Sushi	Japanese - Sushi	
1439	3	Asian	Chinese	Asian - Chinese	
1440	3	Japanese	Sushi	Japanese - Sushi	
1445	3	Asian	Chinese	Asian - Chinese	
1446	3	Japanese	Sushi	Japanese - Sushi	
1473	3	Asian	Chinese	Asian - Chinese	
1485	3	American (Traditional)	Diner	American (Traditional) - Diner	
1487	3	Asian	Chinese	Asian - Chinese	
1494	3	Seafood	Steakhouse	Seafood - Steakhouse	
1525	3	Asian	Chinese	Asian - Chinese	
1534	3	American (Traditional)	Diner	American (Traditional) - Diner	
1542	3	Asian	Chinese	Asian - Chinese	
1543	3	European	Spanish	European - Spanish	
1551	3	European	French	European - French	
1553	3	Japanese	Sushi	Japanese - Sushi	
1555	3	Asian	Chinese	Asian - Chinese	
1557	3	Japanese	Sushi	Japanese - Sushi	
1573	3	Asian	Chinese	Asian - Chinese	
1579	3	Asian	Chinese	Asian - Chinese	
1588	3	Japanese	Sushi	Japanese - Sushi	
1590	3	Asian	Chinese	Asian - Chinese	
1601	3	Asian	Chinese	Asian - Chinese	
1604	3	American (Traditional)	Southwestern	American (Traditional) - Southwestern	
1605	3	Asian	Chinese	Asian - Chinese	
1608	3	American (Traditional)	Diner	American (Traditional) - Diner	
1626	3	Asian	Chinese	Asian - Chinese	
1639	3	American (Traditional)	Diner	American (Traditional) - Diner	
1663	3	Asian	Chinese	Asian - Chinese	
1671	3	Asian	Chinese	Asian - Chinese	
1676	3	American (Traditional)	Diner	American (Traditional) - Diner	
1680	3	Asian	Chinese	Asian - Chinese	
1681	3	Asian	Chinese	Asian - Chinese	
