restaurant	urbanspoon	cuisine			
2000	1934	3826	81		
0006	4	Thai	Sushi	Vegetarian	Thai - Sushi - Vegetarian
0007	4	Coffee	Bakery	Sandwiches/Subs	Coffee - Bakery - Sandwiches/Subs
0009	4	Southwestern	Breakfast/Brunch	Diner	Southwestern - Breakfast/Brunch - Diner
0014	4	Steakhouse	American	Seafood	Steakhouse - American - Seafood
0015	4	Southwestern	Mexican	New Mexican	Southwestern - Mexican - New Mexican
0017	4	Diner	American	Sandwiches/Subs	Diner - American - Sandwiches/Subs
0019	4	French	American	European	French - American - European
0021	4	Asian	American	Vegetarian	Asian - American - Vegetarian
0023	4	Seafood	American	International	Seafood - American - International
0025	4	American	Gastropub	Tapas	American - Gastropub - Tapas
0027	4	Steakhouse	American	Seafood	Steakhouse - American - Seafood
0035	4	Burgers	American	Steakhouse	Burgers - American - Steakhouse
0037	4	Desserts/Ice Cream	European	International	Desserts/Ice Cream - European - International
0040	4	Pizza	Italian	Sandwiches/Subs	Pizza - Italian - Sandwiches/Subs
0041	4	Hot Dogs	American	Burgers	Hot Dogs - American - Burgers
0045	4	Cuban	Caribbean	Sandwiches/Subs	Cuban - Caribbean - Sandwiches/Subs
0046	4	Pizza	Sandwiches/Subs	Vegetarian	Pizza - Sandwiches/Subs - Vegetarian
0048	4	Southern &amp; Soul	American	Modern American	Southern &amp; Soul - American - Modern American
0049	4	Bakery	Coffee	Sandwiches/Subs	Bakery - Coffee - Sandwiches/Subs
0053	4	Thai	American	Asian	Thai - American - Asian
0054	4	Bakery	Italian	Pizza	Bakery - Italian - Pizza
0057	4	Burgers	American	Southern &amp; Soul	Burgers - American - Southern &amp; Soul
0059	4	American	Organic	Vegetarian	American - Organic - Vegetarian
0060	4	Tacos	Mexican	Tex-Mex	Tacos - Mexican - Tex-Mex
0061	4	Desserts/Ice Cream	Bakery	Coffee	Desserts/Ice Cream - Bakery - Coffee
0066	4	American	Breakfast/Brunch	Coffee	American - Breakfast/Brunch - Coffee
0067	4	Tacos	Breakfast/Brunch	Mexican	Tacos - Breakfast/Brunch - Mexican
0069	4	Cajun/Creole	Seafood	Southern &amp; Soul	Cajun/Creole - Seafood - Southern &amp; Soul
0070	4	American	International	Seafood	American - International - Seafood
0075	4	Pizza	Italian	Vegetarian	Pizza - Italian - Vegetarian
0078	4	Pizza	American	Pub Food	Pizza - American - Pub Food
0081	4	International	American	Gastropub	International - American - Gastropub
0083	4	French	European	Seafood	French - European - Seafood
0086	4	Thai	Japanese	Sushi	Thai - Japanese - Sushi
0087	4	Seafood	American	Pub Food	Seafood - American - Pub Food
0088	4	Steakhouse	Italian	Seafood	Steakhouse - Italian - Seafood
0090	4	Seafood	Asian	Hawaiian	Seafood - Asian - Hawaiian
0091	4	Pizza	Sandwiches/Subs	Soups	Pizza - Sandwiches/Subs - Soups
0092	4	Pub Food	American	Burgers	Pub Food - American - Burgers
0093	4	Southern &amp; Soul	American	Seafood	Southern &amp; Soul - American - Seafood
0094	4	Chinese	Asian	Vegetarian	Chinese - Asian - Vegetarian
0095	4	American	Seafood	Southern &amp; Soul	American - Seafood - Southern &amp; Soul
0101	4	Bakery	Coffee	Tea	Bakery - Coffee - Tea
0102	4	American	Burgers	Pub Food	American - Burgers - Pub Food
0104	4	Thai	Buffet	Sushi	Thai - Buffet - Sushi
0106	4	Pizza	Italian	Seafood	Pizza - Italian - Seafood
0109	4	Asian	Chinese	Vegetarian	Asian - Chinese - Vegetarian
0113	4	Chinese	Sushi	Thai	Chinese - Sushi - Thai
0114	4	Italian	American	Tex-Mex	Italian - American - Tex-Mex
0115	4	Pizza	Italian	Sandwiches/Subs	Pizza - Italian - Sandwiches/Subs
0118	4	Italian	Breakfast/Brunch	Sandwiches/Subs	Italian - Breakfast/Brunch - Sandwiches/Subs
0119	4	Asian	Chinese	Sushi	Asian - Chinese - Sushi
0124	4	Wine Bar	European	Seafood	Wine Bar - European - Seafood
0125	4	Italian	Barbecue	Pizza	Italian - Barbecue - Pizza
0127	4	Mediterranean	International	Middle Eastern	Mediterranean - International - Middle Eastern
0129	4	Desserts/Ice Cream	Burgers	Seafood	Desserts/Ice Cream - Burgers - Seafood
0130	4	French	American	Mediterranean	French - American - Mediterranean
0141	4	American	Burgers	Gastropub	American - Burgers - Gastropub
0145	4	Tapas	International	Wine Bar	Tapas - International - Wine Bar
0147	4	Burgers	Fast Food	Pub Food	Burgers - Fast Food - Pub Food
0148	4	Burgers	American	Pub Food	Burgers - American - Pub Food
0149	4	Barbecue	Sandwiches/Subs	Southern &amp; Soul	Barbecue - Sandwiches/Subs - Southern &amp; Soul
0156	4	Sandwiches/Subs	Italian	Soups	Sandwiches/Subs - Italian - Soups
0157	4	Sushi	Chinese	Japanese	Sushi - Chinese - Japanese
0158	4	Burgers	Desserts/Ice Cream	Hot Dogs	Burgers - Desserts/Ice Cream - Hot Dogs
0159	4	Thai	Asian	Vietnamese	Thai - Asian - Vietnamese
0161	4	Steakhouse	American	Seafood	Steakhouse - American - Seafood
0163	4	Coffee	Breakfast/Brunch	Sandwiches/Subs	Coffee - Breakfast/Brunch - Sandwiches/Subs
0166	4	Greek	Mediterranean	Tapas	Greek - Mediterranean - Tapas
0167	4	Diner	Breakfast/Brunch	Southern &amp; Soul	Diner - Breakfast/Brunch - Southern &amp; Soul
0170	4	Italian	Modern American	Southern &amp; Soul	Italian - Modern American - Southern &amp; Soul
0178	4	Asian	Sushi	Thai	Asian - Sushi - Thai
0180	4	Coffee	Sandwiches/Subs	Wine Bar	Coffee - Sandwiches/Subs - Wine Bar
0181	4	Bakery	French	Soups	Bakery - French - Soups
0186	4	European	Desserts/Ice Cream	Gastropub	European - Desserts/Ice Cream - Gastropub
0187	4	American	Breakfast/Brunch	Southern &amp; Soul	American - Breakfast/Brunch - Southern &amp; Soul
0190	4	Pizza	Eastern European	Vegetarian	Pizza - Eastern European - Vegetarian
0191	4	Sushi	Asian	Japanese	Sushi - Asian - Japanese
0195	4	Sushi	Asian	Japanese	Sushi - Asian - Japanese
0197	4	Breakfast/Brunch	International	Organic	Breakfast/Brunch - International - Organic
0198	4	American	Desserts/Ice Cream	Gastropub	American - Desserts/Ice Cream - Gastropub
0199	4	Hot Dogs	American	Burgers	Hot Dogs - American - Burgers
0200	4	Italian	Pizza	Wine Bar	Italian - Pizza - Wine Bar
0201	4	Japanese	International	Sushi	Japanese - International - Sushi
0204	4	Italian	Pizza	Seafood	Italian - Pizza - Seafood
0209	4	Mexican	Southwestern	Tex-Mex	Mexican - Southwestern - Tex-Mex
0211	4	Caribbean	American	Southern &amp; Soul	Caribbean - American - Southern &amp; Soul
0213	4	American	Barbecue	Fast Food	American - Barbecue - Fast Food
0214	4	Asian	Noodle Shop	Vietnamese	Asian - Noodle Shop - Vietnamese
0216	4	Vietnamese	Asian	French	Vietnamese - Asian - French
0217	4	Mexican	Breakfast/Brunch	Tex-Mex	Mexican - Breakfast/Brunch - Tex-Mex
0219	4	American	Burgers	Pub Food	American - Burgers - Pub Food
0221	4	Pizza	Italian	Sandwiches/Subs	Pizza - Italian - Sandwiches/Subs
0222	4	Mediterranean	International	Middle Eastern	Mediterranean - International - Middle Eastern
0223	4	Vietnamese	French	International	Vietnamese - French - International
0225	4	Thai	Sushi	Vegetarian	Thai - Sushi - Vegetarian
0229	4	American	Breakfast/Brunch	Diner	American - Breakfast/Brunch - Diner
0231	4	Italian	American	Vegetarian	Italian - American - Vegetarian
0235	4	Hot Dogs	Burgers	Fast Food	Hot Dogs - Burgers - Fast Food
0242	4	Wine Bar	International	Mediterranean	Wine Bar - International - Mediterranean
0244	4	Middle Eastern	Mediterranean	Vegetarian	Middle Eastern - Mediterranean - Vegetarian
0249	4	American	Burgers	Pub Food	American - Burgers - Pub Food
0253	4	Italian	American	Pizza	Italian - American - Pizza
0255	4	American	English/Irish	Pub Food	American - English/Irish - Pub Food
0257	4	Middle Eastern	Mediterranean	Vegetarian	Middle Eastern - Mediterranean - Vegetarian
0262	4	Asian	Japanese	Sushi	Asian - Japanese - Sushi
0264	4	Pub Food	American	Burgers	Pub Food - American - Burgers
0266	4	German	California	Sandwiches/Subs	German - California - Sandwiches/Subs
0267	4	Japanese	Korean	Sushi	Japanese - Korean - Sushi
0270	4	Asian	Thai	Vietnamese	Asian - Thai - Vietnamese
0273	4	Mediterranean	Greek	Turkish	Mediterranean - Greek - Turkish
0284	4	Pub Food	Burgers	Pizza	Pub Food - Burgers - Pizza
0285	4	Wine Bar	Italian	Seafood	Wine Bar - Italian - Seafood
0288	4	Pizza	Pub Food	Sandwiches/Subs	Pizza - Pub Food - Sandwiches/Subs
0292	4	American	Italian	Southern &amp; Soul	American - Italian - Southern &amp; Soul
0295	4	Southern &amp; Soul	American	Chicken	Southern &amp; Soul - American - Chicken
0296	4	Burgers	American	Greek	Burgers - American - Greek
0304	4	Mexican	American	Tex-Mex	Mexican - American - Tex-Mex
0306	4	Desserts/Ice Cream	American	Hot Dogs	Desserts/Ice Cream - American - Hot Dogs
0311	4	Southern &amp; Soul	American	Breakfast/Brunch	Southern &amp; Soul - American - Breakfast/Brunch
0316	4	American	Burgers	Tex-Mex	American - Burgers - Tex-Mex
0317	4	Italian	Pizza	Sandwiches/Subs	Italian - Pizza - Sandwiches/Subs
0318	4	Southern &amp; Soul	American	Barbecue	Southern &amp; Soul - American - Barbecue
0321	4	American	Steakhouse	Wine Bar	American - Steakhouse - Wine Bar
0323	4	Asian	Chinese	Thai	Asian - Chinese - Thai
0324	4	Pub Food	American	English/Irish	Pub Food - American - English/Irish
0325	4	American	Greek	Mediterranean	American - Greek - Mediterranean
0326	4	Italian	French	Pizza	Italian - French - Pizza
0327	4	Japanese	Asian	Sushi	Japanese - Asian - Sushi
0329	4	Southern &amp; Soul	American	Breakfast/Brunch	Southern &amp; Soul - American - Breakfast/Brunch
0331	4	Asian	Dim Sum	Vietnamese	Asian - Dim Sum - Vietnamese
0338	4	Barbecue	Cajun/Creole	Caribbean	Barbecue - Cajun/Creole - Caribbean
0344	4	Steakhouse	Japanese	Sushi	Steakhouse - Japanese - Sushi
0345	4	Pub Food	English/Irish	Gastropub	Pub Food - English/Irish - Gastropub
0350	4	Mexican	American	Tex-Mex	Mexican - American - Tex-Mex
0352	4	Sandwiches/Subs	Organic	Soups	Sandwiches/Subs - Organic - Soups
0353	4	Breakfast/Brunch	Bakery	International	Breakfast/Brunch - Bakery - International
0366	4	Pub Food	American	Gastropub	Pub Food - American - Gastropub
0368	4	International	American	Breakfast/Brunch	International - American - Breakfast/Brunch
0370	4	Pizza	California	Italian	Pizza - California - Italian
0372	4	American	Burgers	Steakhouse	American - Burgers - Steakhouse
0377	4	American	Barbecue	Southern &amp; Soul	American - Barbecue - Southern &amp; Soul
0379	4	Seafood	Italian	Pizza	Seafood - Italian - Pizza
0380	4	American	Barbecue	Burgers	American - Barbecue - Burgers
0389	4	Sushi	Japanese	Korean	Sushi - Japanese - Korean
0399	4	American	Burgers	Sandwiches/Subs	American - Burgers - Sandwiches/Subs
0401	4	Pub Food	Seafood	Steakhouse	Pub Food - Seafood - Steakhouse
0402	4	Coffee	Desserts/Ice Cream	Diner	Coffee - Desserts/Ice Cream - Diner
0404	4	Greek	European	Mediterranean	Greek - European - Mediterranean
0405	4	Coffee	Bakery	Breakfast/Brunch	Coffee - Bakery - Breakfast/Brunch
0406	4	Italian	Pizza	Sandwiches/Subs	Italian - Pizza - Sandwiches/Subs
0407	4	American	Seafood	Steakhouse	American - Seafood - Steakhouse
0409	4	Mediterranean	Seafood	Soups	Mediterranean - Seafood - Soups
0410	4	Coffee	Organic	Sandwiches/Subs	Coffee - Organic - Sandwiches/Subs
0414	4	Steakhouse	American	Seafood	Steakhouse - American - Seafood
0417	4	Diner	Breakfast/Brunch	Vegetarian	Diner - Breakfast/Brunch - Vegetarian
0423	4	Sushi	Asian	Japanese	Sushi - Asian - Japanese
0425	4	Breakfast/Brunch	American	Diner	Breakfast/Brunch - American - Diner
0426	4	Italian	Pizza	Sandwiches/Subs	Italian - Pizza - Sandwiches/Subs
0431	4	Pizza	Italian	Sandwiches/Subs	Pizza - Italian - Sandwiches/Subs
0436	4	Seafood	American	Steakhouse	Seafood - American - Steakhouse
0440	4	Seafood	Japanese	Sushi	Seafood - Japanese - Sushi
0441	4	Seafood	Asian	Hawaiian	Seafood - Asian - Hawaiian
0442	4	American	Italian	Organic	American - Italian - Organic
0445	4	American	Burgers	Sandwiches/Subs	American - Burgers - Sandwiches/Subs
0450	4	Pizza	Sandwiches/Subs	Seafood	Pizza - Sandwiches/Subs - Seafood
0455	4	Seafood	American	Asian	Seafood - American - Asian
0460	4	American	Asian	Southwestern	American - Asian - Southwestern
0461	4	Asian	Noodle Shop	Vegetarian	Asian - Noodle Shop - Vegetarian
0465	4	American	Breakfast/Brunch	Desserts/Ice Cream	American - Breakfast/Brunch - Desserts/Ice Cream
0468	4	American	Bakery	Burgers	American - Bakery - Burgers
0475	4	Chinese	Asian	Vegetarian	Chinese - Asian - Vegetarian
0476	4	Fast Food	Bagels	Breakfast/Brunch	Fast Food - Bagels - Breakfast/Brunch
0478	4	International	Mediterranean	Spanish	International - Mediterranean - Spanish
0482	4	Asian	Buffet	Sushi	Asian - Buffet - Sushi
0483	4	American	Burgers	Gastropub	American - Burgers - Gastropub
0484	4	American	Coffee	Sandwiches/Subs	American - Coffee - Sandwiches/Subs
0486	4	Pizza	Italian	Sandwiches/Subs	Pizza - Italian - Sandwiches/Subs
0489	4	Thai	Asian	Vietnamese	Thai - Asian - Vietnamese
0490	4	Breakfast/Brunch	Pizza	Sandwiches/Subs	Breakfast/Brunch - Pizza - Sandwiches/Subs
0492	4	Pizza	Italian	Sandwiches/Subs	Pizza - Italian - Sandwiches/Subs
0493	4	Japanese	Steakhouse	Sushi	Japanese - Steakhouse - Sushi
0494	4	Turkish	Halal	Middle Eastern	Turkish - Halal - Middle Eastern
0495	4	Pub Food	Breakfast/Brunch	Gastropub	Pub Food - Breakfast/Brunch - Gastropub
0496	4	Sandwiches/Subs	Burgers	Soups	Sandwiches/Subs - Burgers - Soups
0502	4	American	Burgers	Pizza	American - Burgers - Pizza
0507	4	Pizza	Sandwiches/Subs	Vegetarian	Pizza - Sandwiches/Subs - Vegetarian
0508	4	American	Modern American	Seafood	American - Modern American - Seafood
